county,req_exped_service_adjustment,req_exped_service_pend_prev_qtr,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_5_days,req_exped_service_disposed_entitled_pacf_over_5_days,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_5_days,req_exped_service_disposed_entitled_nacf_over_5_days,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_tot_hh_fail_complete_app_process,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,year,month,quarter,fulldate
California,-3042.0,23711.0,126598.0,150309.0,118222.0,54203.0,6439.0,708.0,3083.0,37053.0,2072.0,4848.0,64019.0,13360.0,50659.0,32087.0,3976.0,228.0,3748.0,2004,APR,2.0,2004-04-01
Alameda,\N,0.0,2741.0,2741.0,2741.0,1666.0,198.0,5.0,29.0,1268.0,32.0,134.0,1075.0,252.0,823.0,0.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Alpine,\N,0.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Amador,\N,11.0,74.0,85.0,74.0,68.0,4.0,0.0,0.0,61.0,2.0,1.0,6.0,3.0,3.0,11.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Butte,\N,7.0,661.0,668.0,653.0,517.0,68.0,3.0,6.0,404.0,26.0,10.0,136.0,25.0,111.0,15.0,55.0,8.0,47.0,2004,APR,2.0,2004-04-01
Calaveras,\N,0.0,83.0,83.0,83.0,77.0,14.0,0.0,0.0,59.0,2.0,2.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Colusa,\N,0.0,38.0,38.0,38.0,33.0,7.0,0.0,0.0,26.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,1.0,2004,APR,2.0,2004-04-01
Contra Costa,\N,0.0,1675.0,1675.0,1675.0,567.0,206.0,2.0,4.0,345.0,3.0,7.0,1108.0,221.0,887.0,0.0,3.0,2.0,1.0,2004,APR,2.0,2004-04-01
Del Norte,\N,1.0,143.0,144.0,144.0,118.0,23.0,1.0,2.0,89.0,2.0,1.0,26.0,6.0,20.0,0.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
El Dorado,\N,8.0,128.0,136.0,121.0,103.0,13.0,3.0,9.0,47.0,8.0,23.0,18.0,3.0,15.0,15.0,2.0,0.0,2.0,2004,APR,2.0,2004-04-01
Fresno,\N,1317.0,3437.0,4754.0,3453.0,2902.0,774.0,82.0,49.0,1749.0,147.0,101.0,551.0,522.0,29.0,1301.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Glenn,\N,0.0,68.0,68.0,67.0,61.0,7.0,0.0,0.0,53.0,0.0,1.0,6.0,0.0,6.0,1.0,1.0,0.0,1.0,2004,APR,2.0,2004-04-01
Humboldt,\N,0.0,552.0,552.0,552.0,460.0,7.0,0.0,2.0,356.0,37.0,58.0,92.0,27.0,65.0,0.0,28.0,8.0,20.0,2004,APR,2.0,2004-04-01
Imperial,\N,0.0,41.0,41.0,40.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,1.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Inyo,\N,0.0,57.0,57.0,54.0,46.0,8.0,0.0,1.0,35.0,1.0,1.0,8.0,3.0,5.0,3.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Kern,\N,87.0,4610.0,4697.0,4603.0,1479.0,185.0,6.0,7.0,1232.0,23.0,26.0,3124.0,1159.0,1965.0,94.0,327.0,84.0,243.0,2004,APR,2.0,2004-04-01
Kings,\N,13.0,543.0,556.0,548.0,287.0,49.0,3.0,4.0,203.0,14.0,14.0,261.0,88.0,173.0,8.0,48.0,11.0,37.0,2004,APR,2.0,2004-04-01
Lake,\N,159.0,357.0,516.0,340.0,260.0,63.0,0.0,4.0,177.0,4.0,12.0,80.0,15.0,65.0,176.0,1.0,0.0,1.0,2004,APR,2.0,2004-04-01
Lassen,\N,2.0,151.0,153.0,152.0,66.0,8.0,2.0,1.0,45.0,8.0,2.0,86.0,35.0,51.0,1.0,1.0,0.0,1.0,2004,APR,2.0,2004-04-01
Los Angeles,-3012.0,12255.0,66764.0,79019.0,56963.0,25843.0,1035.0,424.0,2799.0,16628.0,1200.0,3757.0,31120.0,2637.0,28483.0,22056.0,3112.0,27.0,3085.0,2004,APR,2.0,2004-04-01
Madera,\N,13.0,309.0,322.0,318.0,218.0,43.0,1.0,2.0,166.0,4.0,2.0,100.0,13.0,87.0,4.0,11.0,4.0,7.0,2004,APR,2.0,2004-04-01
Marin,\N,87.0,102.0,189.0,92.0,82.0,7.0,1.0,0.0,68.0,1.0,5.0,10.0,0.0,10.0,97.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Mariposa,\N,5.0,29.0,34.0,29.0,25.0,6.0,0.0,0.0,19.0,0.0,0.0,4.0,0.0,4.0,5.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Mendocino,-5.0,0.0,287.0,287.0,280.0,256.0,39.0,1.0,0.0,208.0,3.0,5.0,24.0,6.0,18.0,7.0,1.0,0.0,1.0,2004,APR,2.0,2004-04-01
Merced,\N,1277.0,528.0,1805.0,1801.0,211.0,62.0,0.0,0.0,149.0,0.0,0.0,1590.0,707.0,883.0,4.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Modoc,\N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Mono,-1.0,0.0,10.0,10.0,10.0,9.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Monterey,-8.0,17.0,712.0,729.0,722.0,310.0,54.0,0.0,0.0,252.0,2.0,2.0,412.0,32.0,380.0,7.0,3.0,0.0,3.0,2004,APR,2.0,2004-04-01
Napa,\N,7.0,312.0,319.0,308.0,88.0,3.0,0.0,2.0,76.0,2.0,5.0,220.0,72.0,148.0,11.0,14.0,6.0,8.0,2004,APR,2.0,2004-04-01
Nevada,\N,130.0,83.0,213.0,77.0,56.0,10.0,0.0,1.0,43.0,0.0,2.0,21.0,6.0,15.0,136.0,2.0,0.0,2.0,2004,APR,2.0,2004-04-01
Orange,\N,24.0,591.0,615.0,590.0,522.0,53.0,0.0,0.0,465.0,1.0,3.0,68.0,22.0,46.0,25.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Placer,\N,44.0,312.0,356.0,312.0,195.0,35.0,3.0,2.0,143.0,6.0,6.0,117.0,25.0,92.0,44.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Plumas,-2.0,0.0,29.0,29.0,27.0,20.0,0.0,0.0,0.0,19.0,0.0,1.0,7.0,0.0,7.0,2.0,2.0,0.0,2.0,2004,APR,2.0,2004-04-01
Riverside,\N,13.0,4382.0,4395.0,4361.0,1576.0,226.0,93.0,6.0,1151.0,74.0,26.0,2785.0,359.0,2426.0,34.0,60.0,1.0,59.0,2004,APR,2.0,2004-04-01
Sacramento,\N,1040.0,3273.0,4313.0,3275.0,1000.0,397.0,3.0,8.0,539.0,37.0,16.0,2275.0,1833.0,442.0,1038.0,1.0,0.0,1.0,2004,APR,2.0,2004-04-01
San Benito,\N,0.0,75.0,75.0,75.0,67.0,25.0,0.0,1.0,40.0,0.0,1.0,8.0,1.0,7.0,0.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
San Bernardino,\N,0.0,6196.0,6196.0,6196.0,4851.0,1521.0,43.0,93.0,3011.0,59.0,124.0,1345.0,582.0,763.0,0.0,75.0,36.0,39.0,2004,APR,2.0,2004-04-01
San Diego,\N,20.0,8316.0,8336.0,8310.0,1699.0,106.0,2.0,2.0,1532.0,33.0,24.0,6611.0,3107.0,3504.0,26.0,3.0,2.0,1.0,2004,APR,2.0,2004-04-01
San Francisco,\N,1459.0,3487.0,4946.0,3844.0,1878.0,16.0,0.0,0.0,1859.0,0.0,3.0,1966.0,0.0,1966.0,1102.0,15.0,5.0,10.0,2004,APR,2.0,2004-04-01
San Joaquin,\N,5.0,216.0,221.0,218.0,181.0,54.0,3.0,4.0,105.0,4.0,11.0,37.0,5.0,32.0,3.0,2.0,0.0,2.0,2004,APR,2.0,2004-04-01
San Luis Obispo,\N,3271.0,536.0,3807.0,466.0,210.0,62.0,0.0,1.0,145.0,1.0,1.0,256.0,79.0,177.0,3341.0,1.0,0.0,1.0,2004,APR,2.0,2004-04-01
San Mateo,\N,10.0,527.0,537.0,529.0,517.0,418.0,8.0,6.0,72.0,9.0,4.0,12.0,2.0,10.0,8.0,73.0,2.0,71.0,2004,APR,2.0,2004-04-01
Santa Barbara,\N,1.0,1290.0,1291.0,1290.0,359.0,51.0,0.0,0.0,278.0,19.0,11.0,931.0,113.0,818.0,1.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Santa Clara,\N,670.0,4623.0,5293.0,4507.0,544.0,136.0,4.0,8.0,297.0,12.0,87.0,3963.0,551.0,3412.0,786.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Santa Cruz,\N,165.0,1188.0,1353.0,1308.0,465.0,50.0,1.0,3.0,211.0,61.0,139.0,843.0,30.0,813.0,45.0,19.0,10.0,9.0,2004,APR,2.0,2004-04-01
Shasta,\N,311.0,484.0,795.0,466.0,367.0,36.0,1.0,3.0,320.0,4.0,3.0,99.0,11.0,88.0,329.0,9.0,0.0,9.0,2004,APR,2.0,2004-04-01
Sierra,\N,0.0,7.0,7.0,7.0,7.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Siskiyou,-14.0,0.0,169.0,169.0,161.0,117.0,20.0,0.0,0.0,92.0,0.0,5.0,44.0,2.0,42.0,8.0,3.0,0.0,3.0,2004,APR,2.0,2004-04-01
Solano,\N,0.0,637.0,637.0,637.0,610.0,34.0,5.0,4.0,515.0,39.0,13.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Sonoma,\N,0.0,1410.0,1410.0,1402.0,852.0,90.0,2.0,1.0,748.0,8.0,3.0,550.0,311.0,239.0,8.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Stanislaus,\N,0.0,266.0,266.0,223.0,156.0,4.0,1.0,7.0,121.0,13.0,10.0,67.0,24.0,43.0,43.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Sutter,\N,8.0,184.0,192.0,181.0,92.0,20.0,0.0,4.0,60.0,2.0,6.0,89.0,25.0,64.0,11.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Tehama,\N,9.0,348.0,357.0,352.0,159.0,32.0,1.0,4.0,118.0,1.0,3.0,193.0,75.0,118.0,5.0,2.0,1.0,1.0,2004,APR,2.0,2004-04-01
Trinity,\N,31.0,40.0,71.0,40.0,35.0,6.0,0.0,0.0,25.0,0.0,4.0,5.0,0.0,5.0,31.0,9.0,1.0,8.0,2004,APR,2.0,2004-04-01
Tulare,\N,685.0,862.0,1547.0,859.0,531.0,44.0,2.0,1.0,470.0,9.0,5.0,328.0,74.0,254.0,688.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Tuolumne,\N,8.0,351.0,359.0,359.0,110.0,9.0,0.0,0.0,94.0,4.0,3.0,249.0,74.0,175.0,0.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Ventura,\N,523.0,1405.0,1928.0,1382.0,871.0,1.0,0.0,2.0,564.0,147.0,157.0,511.0,2.0,509.0,546.0,92.0,20.0,72.0,2004,APR,2.0,2004-04-01
Yolo,\N,0.0,213.0,213.0,213.0,154.0,32.0,0.0,0.0,120.0,1.0,1.0,59.0,0.0,59.0,0.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
Yuba,\N,18.0,682.0,700.0,690.0,241.0,55.0,2.0,1.0,169.0,7.0,7.0,449.0,186.0,263.0,10.0,0.0,0.0,0.0,2004,APR,2.0,2004-04-01
