county,req_exped_service_adjustment,req_exped_service_pend_prev_qtr,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_5_days,req_exped_service_disposed_entitled_pacf_over_5_days,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_5_days,req_exped_service_disposed_entitled_nacf_over_5_days,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_tot_hh_fail_complete_app_process,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,year,month,quarter,fulldate
California,93.0,30483.0,146215.0,176698.0,147421.0,53904.0,7033.0,706.0,4103.0,34419.0,2650.0,4993.0,93517.0,15230.0,78287.0,29277.0,3484.0,269.0,3215.0,2003,JUL,3.0,2003-07-01
Alameda,,0.0,2469.0,2469.0,2469.0,1686.0,84.0,7.0,20.0,1412.0,28.0,135.0,783.0,119.0,664.0,0.0,1.0,1.0,0.0,2003,JUL,3.0,2003-07-01
Alpine,,0.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Amador,,8.0,91.0,99.0,91.0,77.0,4.0,0.0,0.0,72.0,1.0,0.0,14.0,1.0,13.0,8.0,2.0,0.0,2.0,2003,JUL,3.0,2003-07-01
Butte,,14.0,638.0,652.0,638.0,485.0,77.0,13.0,10.0,307.0,54.0,24.0,153.0,20.0,133.0,14.0,65.0,11.0,54.0,2003,JUL,3.0,2003-07-01
Calaveras,-17.0,0.0,129.0,129.0,123.0,105.0,16.0,1.0,1.0,74.0,6.0,7.0,18.0,1.0,17.0,6.0,1.0,0.0,1.0,2003,JUL,3.0,2003-07-01
Colusa,,0.0,48.0,48.0,48.0,35.0,5.0,0.0,0.0,28.0,1.0,1.0,13.0,3.0,10.0,0.0,2.0,0.0,2.0,2003,JUL,3.0,2003-07-01
Contra Costa,,0.0,1744.0,1744.0,1744.0,544.0,243.0,2.0,2.0,281.0,9.0,7.0,1200.0,206.0,994.0,0.0,6.0,6.0,0.0,2003,JUL,3.0,2003-07-01
Del Norte,,0.0,193.0,193.0,191.0,164.0,27.0,0.0,0.0,129.0,4.0,4.0,27.0,2.0,25.0,2.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
El Dorado,,10.0,162.0,172.0,152.0,126.0,15.0,2.0,10.0,71.0,8.0,20.0,26.0,5.0,21.0,20.0,1.0,0.0,1.0,2003,JUL,3.0,2003-07-01
