county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Colusa,\N,\N,\N,\N,\N,\N,\N,13.0,47.0,\N,\N,\N,13.0,47.0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2005,JAN,1.0,2005-01-01
Santa Cruz,1.0,2.0,3.0,4.0,5.0,6.0,9.0,12.0,15.0,18.0,7.0,10.0,13.0,16.0,19.0,8.0,11.0,14.0,17.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,2005,JAN,1.0,2005-01-01
California,16886.0,29136.0,-12250.0,122899.0,139785.0,19123.0,6886.0,4744.0,844.0,1298.0,93839.0,43770.0,36403.0,4069.0,3298.0,112962.0,50656.0,41147.0,4913.0,4596.0,12237.0,50069.0,62306.0,26823.0,241.0,3666.0,3907.0,2005,JAN,1.0,2005-01-01
Alameda,0.0,0.0,0.0,2593.0,2593.0,372.0,174.0,138.0,6.0,30.0,2221.0,1342.0,1182.0,28.0,132.0,2593.0,1516.0,1320.0,34.0,162.0,198.0,879.0,1077.0,0.0,0.0,0.0,0.0,2005,JAN,1.0,2005-01-01
Alpine,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,2005,JAN,1.0,2005-01-01
Amador,2.0,4.0,-2.0,65.0,67.0,1.0,1.0,1.0,0.0,0.0,63.0,56.0,55.0,0.0,1.0,64.0,57.0,56.0,0.0,1.0,0.0,7.0,7.0,3.0,0.0,4.0,4.0,2005,JAN,1.0,2005-01-01
Butte,7.0,7.0,0.0,684.0,691.0,63.0,59.0,56.0,2.0,1.0,624.0,497.0,456.0,13.0,28.0,687.0,556.0,512.0,15.0,29.0,4.0,127.0,131.0,4.0,6.0,56.0,62.0,2005,JAN,1.0,2005-01-01
Calaveras,0.0,0.0,0.0,102.0,102.0,11.0,11.0,8.0,3.0,0.0,91.0,78.0,75.0,1.0,2.0,102.0,89.0,83.0,4.0,2.0,0.0,13.0,13.0,0.0,1.0,4.0,5.0,2005,JAN,1.0,2005-01-01
Colusa,0.0,0.0,0.0,50.0,50.0,2.0,2.0,2.0,0.0,0.0,48.0,39.0,39.0,0.0,0.0,50.0,41.0,41.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,2005,JAN,1.0,2005-01-01
Contra Costa,0.0,0.0,0.0,1834.0,1834.0,361.0,190.0,183.0,3.0,4.0,1473.0,369.0,356.0,7.0,6.0,1834.0,559.0,539.0,10.0,10.0,171.0,1104.0,1275.0,0.0,0.0,0.0,0.0,2005,JAN,1.0,2005-01-01
