county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
California,32188.0,49126.0,-16938.0,216514.0,248702.0,15807.0,8365.0,4860.0,1145.0,2360.0,186722.0,80417.0,64882.0,7769.0,7766.0,202529.0,88782.0,69742.0,8914.0,10126.0,7442.0,106305.0,113747.0,46173.0,168.0,7294.0,7462.0,2008,OCT,4.0,2008-10-01
Alameda,0.0,0.0,0.0,7828.0,7828.0,603.0,350.0,96.0,88.0,166.0,7225.0,3018.0,1959.0,555.0,504.0,7828.0,3368.0,2055.0,643.0,670.0,253.0,4207.0,4460.0,0.0,1.0,37.0,38.0,2008,OCT,4.0,2008-10-01
Alpine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,OCT,4.0,2008-10-01
Amador,0.0,0.0,0.0,137.0,137.0,0.0,0.0,0.0,0.0,0.0,137.0,129.0,122.0,6.0,1.0,137.0,129.0,122.0,6.0,1.0,0.0,8.0,8.0,0.0,0.0,3.0,3.0,2008,OCT,4.0,2008-10-01
Butte,4.0,1.0,3.0,1011.0,1015.0,49.0,43.0,40.0,0.0,3.0,966.0,814.0,779.0,24.0,11.0,1015.0,857.0,819.0,24.0,14.0,6.0,152.0,158.0,0.0,6.0,56.0,62.0,2008,OCT,4.0,2008-10-01
Calaveras,0.0,0.0,0.0,187.0,187.0,25.0,22.0,22.0,0.0,0.0,162.0,142.0,139.0,2.0,1.0,187.0,164.0,161.0,2.0,1.0,3.0,20.0,23.0,0.0,0.0,3.0,3.0,2008,OCT,4.0,2008-10-01
Colusa,1.0,1.0,0.0,74.0,75.0,3.0,2.0,2.0,0.0,0.0,72.0,49.0,47.0,1.0,1.0,75.0,51.0,49.0,1.0,1.0,1.0,23.0,24.0,0.0,0.0,0.0,0.0,2008,OCT,4.0,2008-10-01
Contra Costa,1408.0,1483.0,-75.0,4302.0,5710.0,147.0,147.0,106.0,18.0,23.0,3916.0,1482.0,1272.0,153.0,57.0,4063.0,1629.0,1378.0,171.0,80.0,0.0,2434.0,2434.0,1647.0,1.0,7.0,8.0,2008,OCT,4.0,2008-10-01
Del Norte,1.0,1.0,0.0,188.0,189.0,20.0,16.0,13.0,3.0,0.0,167.0,141.0,135.0,6.0,0.0,187.0,157.0,148.0,9.0,0.0,4.0,26.0,30.0,2.0,0.0,0.0,0.0,2008,OCT,4.0,2008-10-01
El Dorado,16.0,16.0,0.0,345.0,361.0,39.0,33.0,25.0,1.0,7.0,296.0,255.0,174.0,30.0,51.0,335.0,288.0,199.0,31.0,58.0,6.0,41.0,47.0,26.0,0.0,2.0,2.0,2008,OCT,4.0,2008-10-01
Fresno,311.0,382.0,-71.0,7819.0,8130.0,150.0,88.0,51.0,19.0,18.0,7665.0,5200.0,4381.0,587.0,232.0,7815.0,5288.0,4432.0,606.0,250.0,62.0,2465.0,2527.0,315.0,0.0,19.0,19.0,2008,OCT,4.0,2008-10-01
Glenn,0.0,0.0,0.0,74.0,74.0,7.0,7.0,7.0,0.0,0.0,67.0,56.0,56.0,0.0,0.0,74.0,63.0,63.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,1.0,2008,OCT,4.0,2008-10-01
Humboldt,0.0,0.0,0.0,830.0,830.0,67.0,26.0,4.0,0.0,22.0,763.0,666.0,582.0,30.0,54.0,830.0,692.0,586.0,30.0,76.0,41.0,97.0,138.0,0.0,12.0,29.0,41.0,2008,OCT,4.0,2008-10-01
Imperial,0.0,23.0,-23.0,163.0,163.0,57.0,46.0,29.0,9.0,8.0,98.0,68.0,49.0,8.0,11.0,155.0,114.0,78.0,17.0,19.0,11.0,30.0,41.0,8.0,0.0,0.0,0.0,2008,OCT,4.0,2008-10-01
Inyo,0.0,0.0,0.0,78.0,78.0,8.0,8.0,8.0,0.0,0.0,70.0,65.0,63.0,1.0,1.0,78.0,73.0,71.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2008,OCT,4.0,2008-10-01
Kern,38.0,95.0,-57.0,3356.0,3394.0,267.0,194.0,185.0,2.0,7.0,3103.0,2277.0,2207.0,41.0,29.0,3370.0,2471.0,2392.0,43.0,36.0,73.0,826.0,899.0,24.0,0.0,15.0,15.0,2008,OCT,4.0,2008-10-01
Kings,12.0,12.0,0.0,829.0,841.0,147.0,47.0,40.0,6.0,1.0,692.0,410.0,339.0,54.0,17.0,839.0,457.0,379.0,60.0,18.0,100.0,282.0,382.0,2.0,3.0,62.0,65.0,2008,OCT,4.0,2008-10-01
Lake,0.0,8.0,-8.0,108.0,108.0,26.0,20.0,17.0,2.0,1.0,76.0,66.0,56.0,3.0,7.0,102.0,86.0,73.0,5.0,8.0,6.0,10.0,16.0,6.0,0.0,2.0,2.0,2008,OCT,4.0,2008-10-01
Lassen,14.0,14.0,0.0,134.0,148.0,2.0,2.0,1.0,1.0,0.0,125.0,100.0,92.0,5.0,3.0,127.0,102.0,93.0,6.0,3.0,0.0,25.0,25.0,21.0,0.0,0.0,0.0,2008,OCT,4.0,2008-10-01
