county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Colusa,\N,\N,\N,\N,\N,\N,\N,13.0,47.0,\N,\N,\N,13.0,47.0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2012,APR,2.0,2012-04-01
Santa Cruz,1.0,2.0,3.0,4.0,5.0,6.0,9.0,12.0,15.0,18.0,7.0,10.0,13.0,16.0,19.0,8.0,11.0,14.0,17.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,2012,APR,2.0,2012-04-01
California,31051.0,39526.0,-8475.0,378239.0,409290.0,21144.0,8926.0,8392.0,285.0,249.0,346887.0,139229.0,130906.0,5212.0,3111.0,368031.0,148155.0,139298.0,5497.0,3360.0,12218.0,207658.0,219876.0,41259.0,57.0,5486.0,5543.0,2012,APR,2.0,2012-04-01
Alameda,0.0,0.0,0.0,10762.0,10762.0,390.0,201.0,130.0,27.0,44.0,10372.0,4683.0,4133.0,362.0,188.0,10762.0,4884.0,4263.0,389.0,232.0,189.0,5689.0,5878.0,0.0,1.0,72.0,73.0,2012,APR,2.0,2012-04-01
Alpine,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,18.0,0.0,0.0,25.0,18.0,18.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,2012,APR,2.0,2012-04-01
Amador,9.0,29.0,-20.0,526.0,535.0,26.0,10.0,8.0,1.0,1.0,483.0,234.0,202.0,20.0,12.0,509.0,244.0,210.0,21.0,13.0,16.0,249.0,265.0,26.0,0.0,2.0,2.0,2012,APR,2.0,2012-04-01
Butte,38.0,209.0,-171.0,4067.0,4105.0,195.0,50.0,45.0,1.0,4.0,3733.0,1408.0,1300.0,77.0,31.0,3928.0,1458.0,1345.0,78.0,35.0,145.0,2325.0,2470.0,177.0,1.0,10.0,11.0,2012,APR,2.0,2012-04-01
Calaveras,2.0,2.0,0.0,625.0,627.0,47.0,17.0,17.0,0.0,0.0,576.0,245.0,243.0,2.0,0.0,623.0,262.0,260.0,2.0,0.0,30.0,331.0,361.0,4.0,0.0,0.0,0.0,2012,APR,2.0,2012-04-01
Colusa,10.0,10.0,0.0,190.0,200.0,19.0,9.0,9.0,0.0,0.0,176.0,63.0,61.0,2.0,0.0,195.0,72.0,70.0,2.0,0.0,10.0,113.0,123.0,5.0,0.0,1.0,1.0,2012,APR,2.0,2012-04-01
Contra Costa,408.0,436.0,-28.0,5291.0,5699.0,129.0,78.0,53.0,14.0,11.0,5229.0,1639.0,1477.0,122.0,40.0,5358.0,1717.0,1530.0,136.0,51.0,51.0,3590.0,3641.0,341.0,0.0,7.0,7.0,2012,APR,2.0,2012-04-01
Del Norte,68.0,68.0,0.0,459.0,527.0,25.0,13.0,13.0,0.0,0.0,425.0,231.0,229.0,1.0,1.0,450.0,244.0,242.0,1.0,1.0,12.0,194.0,206.0,77.0,0.0,0.0,0.0,2012,APR,2.0,2012-04-01
El Dorado,7.0,28.0,-21.0,1653.0,1660.0,73.0,32.0,32.0,0.0,0.0,1542.0,832.0,800.0,20.0,12.0,1615.0,864.0,832.0,20.0,12.0,41.0,710.0,751.0,45.0,0.0,9.0,9.0,2012,APR,2.0,2012-04-01
Fresno,220.0,183.0,37.0,13046.0,13266.0,217.0,125.0,114.0,9.0,2.0,12796.0,5781.0,5620.0,105.0,56.0,13013.0,5906.0,5734.0,114.0,58.0,92.0,7015.0,7107.0,253.0,0.0,26.0,26.0,2012,APR,2.0,2012-04-01
Glenn,1.0,3.0,-2.0,263.0,264.0,26.0,15.0,15.0,0.0,0.0,236.0,94.0,94.0,0.0,0.0,262.0,109.0,109.0,0.0,0.0,11.0,142.0,153.0,2.0,0.0,0.0,0.0,2012,APR,2.0,2012-04-01
Humboldt,25.0,139.0,-114.0,3204.0,3229.0,154.0,50.0,47.0,3.0,0.0,2966.0,1067.0,990.0,57.0,20.0,3120.0,1117.0,1037.0,60.0,20.0,104.0,1899.0,2003.0,109.0,0.0,17.0,17.0,2012,APR,2.0,2012-04-01
Imperial,4.0,113.0,-109.0,2420.0,2424.0,149.0,93.0,93.0,0.0,0.0,2139.0,887.0,874.0,8.0,5.0,2288.0,980.0,967.0,8.0,5.0,56.0,1252.0,1308.0,136.0,0.0,4.0,4.0,2012,APR,2.0,2012-04-01
Inyo,3.0,8.0,-5.0,206.0,209.0,10.0,2.0,2.0,0.0,0.0,192.0,112.0,111.0,1.0,0.0,202.0,114.0,113.0,1.0,0.0,8.0,80.0,88.0,7.0,0.0,1.0,1.0,2012,APR,2.0,2012-04-01
Kern,79.0,735.0,-656.0,14623.0,14702.0,1382.0,456.0,444.0,10.0,2.0,12565.0,4784.0,4636.0,88.0,60.0,13947.0,5240.0,5080.0,98.0,62.0,926.0,7781.0,8707.0,755.0,1.0,3.0,4.0,2012,APR,2.0,2012-04-01
Kings,102.0,230.0,-128.0,2049.0,2151.0,122.0,39.0,35.0,3.0,1.0,1749.0,784.0,677.0,84.0,23.0,1871.0,823.0,712.0,87.0,24.0,83.0,965.0,1048.0,280.0,0.0,1.0,1.0,2012,APR,2.0,2012-04-01
Lake,5.0,107.0,-102.0,1248.0,1253.0,51.0,18.0,18.0,0.0,0.0,1076.0,457.0,426.0,26.0,5.0,1127.0,475.0,444.0,26.0,5.0,33.0,619.0,652.0,126.0,0.0,0.0,0.0,2012,APR,2.0,2012-04-01
Lassen,2.0,14.0,-12.0,445.0,447.0,34.0,8.0,8.0,0.0,0.0,389.0,212.0,198.0,9.0,5.0,423.0,220.0,206.0,9.0,5.0,26.0,177.0,203.0,24.0,0.0,0.0,0.0,2012,APR,2.0,2012-04-01
Los Angeles,2666.0,5415.0,-2749.0,95945.0,98611.0,5464.0,3195.0,3059.0,100.0,36.0,87794.0,38051.0,36056.0,1479.0,516.0,93258.0,41246.0,39115.0,1579.0,552.0,2269.0,49743.0,52012.0,5353.0,31.0,4404.0,4435.0,2012,APR,2.0,2012-04-01
Madera,9.0,55.0,-46.0,1152.0,1161.0,58.0,37.0,37.0,0.0,0.0,1052.0,699.0,692.0,5.0,2.0,1110.0,736.0,729.0,5.0,2.0,21.0,353.0,374.0,51.0,0.0,5.0,5.0,2012,APR,2.0,2012-04-01
Marin,14.0,65.0,-51.0,1342.0,1356.0,70.0,30.0,29.0,0.0,1.0,1213.0,538.0,505.0,11.0,22.0,1283.0,568.0,534.0,11.0,23.0,40.0,675.0,715.0,73.0,0.0,0.0,0.0,2012,APR,2.0,2012-04-01
Mariposa,2.0,2.0,0.0,232.0,234.0,17.0,9.0,8.0,0.0,1.0,212.0,82.0,80.0,2.0,0.0,229.0,91.0,88.0,2.0,1.0,8.0,130.0,138.0,5.0,0.0,0.0,0.0,2012,APR,2.0,2012-04-01
Mendocino,2.0,24.0,-22.0,1834.0,1836.0,104.0,58.0,58.0,0.0,0.0,1698.0,859.0,857.0,2.0,0.0,1802.0,917.0,915.0,2.0,0.0,46.0,839.0,885.0,34.0,0.0,0.0,0.0,2012,APR,2.0,2012-04-01
Merced,20.0,186.0,-166.0,4322.0,4342.0,507.0,171.0,164.0,2.0,5.0,3632.0,1534.0,1513.0,10.0,11.0,4139.0,1705.0,1677.0,12.0,16.0,336.0,2098.0,2434.0,203.0,2.0,47.0,49.0,2012,APR,2.0,2012-04-01
Modoc,2.0,7.0,-5.0,103.0,105.0,9.0,5.0,5.0,0.0,0.0,91.0,46.0,43.0,2.0,1.0,100.0,51.0,48.0,2.0,1.0,4.0,45.0,49.0,5.0,0.0,1.0,1.0,2012,APR,2.0,2012-04-01
Mono,4.0,12.0,-8.0,336.0,340.0,9.0,2.0,2.0,0.0,0.0,305.0,132.0,117.0,13.0,2.0,314.0,134.0,119.0,13.0,2.0,7.0,173.0,180.0,26.0,0.0,1.0,1.0,2012,APR,2.0,2012-04-01
Monterey,4.0,251.0,-247.0,3772.0,3776.0,311.0,125.0,123.0,1.0,1.0,3145.0,1254.0,1244.0,7.0,3.0,3456.0,1379.0,1367.0,8.0,4.0,186.0,1891.0,2077.0,320.0,0.0,2.0,2.0,2012,APR,2.0,2012-04-01
Napa,17.0,57.0,-40.0,1151.0,1168.0,62.0,14.0,13.0,0.0,1.0,1056.0,312.0,307.0,1.0,4.0,1118.0,326.0,320.0,1.0,5.0,48.0,744.0,792.0,50.0,0.0,0.0,0.0,2012,APR,2.0,2012-04-01
Nevada,12.0,35.0,-23.0,1180.0,1192.0,68.0,35.0,35.0,0.0,0.0,1064.0,456.0,452.0,1.0,3.0,1132.0,491.0,487.0,1.0,3.0,33.0,608.0,641.0,60.0,0.0,15.0,15.0,2012,APR,2.0,2012-04-01
Orange,54.0,54.0,0.0,15370.0,15424.0,1182.0,392.0,389.0,1.0,2.0,14178.0,5333.0,5305.0,26.0,2.0,15360.0,5725.0,5694.0,27.0,4.0,790.0,8845.0,9635.0,64.0,0.0,38.0,38.0,2012,APR,2.0,2012-04-01
Placer,11.0,11.0,0.0,1272.0,1283.0,2.0,2.0,2.0,0.0,0.0,1279.0,594.0,569.0,16.0,9.0,1281.0,596.0,571.0,16.0,9.0,0.0,685.0,685.0,2.0,0.0,5.0,5.0,2012,APR,2.0,2012-04-01
Plumas,0.0,9.0,-9.0,266.0,266.0,11.0,6.0,6.0,0.0,0.0,244.0,92.0,89.0,1.0,2.0,255.0,98.0,95.0,1.0,2.0,5.0,152.0,157.0,11.0,0.0,0.0,0.0,2012,APR,2.0,2012-04-01
Riverside,170.0,1684.0,-1514.0,33630.0,33800.0,2949.0,892.0,864.0,10.0,18.0,28385.0,9624.0,9109.0,243.0,272.0,31334.0,10516.0,9973.0,253.0,290.0,2057.0,18761.0,20818.0,2466.0,6.0,169.0,175.0,2012,APR,2.0,2012-04-01
Sacramento,5752.0,5752.0,0.0,18033.0,23785.0,519.0,151.0,150.0,0.0,1.0,17433.0,4380.0,4221.0,147.0,12.0,17952.0,4531.0,4371.0,147.0,13.0,368.0,13053.0,13421.0,5833.0,0.0,41.0,41.0,2012,APR,2.0,2012-04-01
San Benito,3.0,26.0,-23.0,712.0,715.0,68.0,19.0,19.0,0.0,0.0,606.0,190.0,189.0,0.0,1.0,674.0,209.0,208.0,0.0,1.0,49.0,416.0,465.0,41.0,0.0,1.0,1.0,2012,APR,2.0,2012-04-01
San Bernardino,204.0,1357.0,-1153.0,43127.0,43331.0,2676.0,700.0,661.0,25.0,14.0,38650.0,14527.0,13856.0,452.0,219.0,41326.0,15227.0,14517.0,477.0,233.0,1976.0,24123.0,26099.0,2005.0,11.0,137.0,148.0,2012,APR,2.0,2012-04-01
San Diego,12281.0,12281.0,0.0,29979.0,42260.0,791.0,438.0,390.0,32.0,16.0,28550.0,12088.0,11368.0,521.0,199.0,29341.0,12526.0,11758.0,553.0,215.0,353.0,16462.0,16815.0,12919.0,4.0,281.0,285.0,2012,APR,2.0,2012-04-01
San Francisco,240.0,226.0,14.0,5398.0,5638.0,217.0,144.0,142.0,2.0,0.0,5161.0,2283.0,2204.0,50.0,29.0,5378.0,2427.0,2346.0,52.0,29.0,73.0,2878.0,2951.0,260.0,0.0,2.0,2.0,2012,APR,2.0,2012-04-01
San Joaquin,1225.0,1542.0,-317.0,6736.0,7961.0,659.0,392.0,385.0,1.0,6.0,5654.0,2820.0,2641.0,91.0,88.0,6313.0,3212.0,3026.0,92.0,94.0,267.0,2834.0,3101.0,1648.0,0.0,1.0,1.0,2012,APR,2.0,2012-04-01
San Luis Obispo,296.0,296.0,0.0,1517.0,1813.0,62.0,31.0,26.0,1.0,4.0,1453.0,534.0,450.0,48.0,36.0,1515.0,565.0,476.0,49.0,40.0,31.0,919.0,950.0,298.0,0.0,4.0,4.0,2012,APR,2.0,2012-04-01
San Mateo,2807.0,2807.0,0.0,2029.0,4836.0,43.0,26.0,18.0,4.0,4.0,1994.0,892.0,771.0,59.0,62.0,2037.0,918.0,789.0,63.0,66.0,17.0,1102.0,1119.0,2799.0,0.0,17.0,17.0,2012,APR,2.0,2012-04-01
Santa Barbara,61.0,41.0,20.0,1022.0,1083.0,33.0,17.0,12.0,1.0,4.0,1034.0,579.0,518.0,37.0,24.0,1067.0,596.0,530.0,38.0,28.0,16.0,455.0,471.0,16.0,0.0,17.0,17.0,2012,APR,2.0,2012-04-01
Santa Clara,1642.0,1726.0,-84.0,7232.0,8874.0,225.0,95.0,25.0,15.0,55.0,7926.0,1937.0,945.0,248.0,744.0,8151.0,2032.0,970.0,263.0,799.0,130.0,5989.0,6119.0,723.0,0.0,3.0,3.0,2012,APR,2.0,2012-04-01
Santa Cruz,300.0,300.0,0.0,2262.0,2562.0,39.0,21.0,17.0,3.0,1.0,2215.0,786.0,712.0,63.0,11.0,2254.0,807.0,729.0,66.0,12.0,18.0,1429.0,1447.0,308.0,0.0,6.0,6.0,2012,APR,2.0,2012-04-01
Shasta,12.0,119.0,-107.0,3768.0,3780.0,221.0,68.0,65.0,2.0,1.0,3379.0,1311.0,1177.0,106.0,28.0,3600.0,1379.0,1242.0,108.0,29.0,153.0,2068.0,2221.0,180.0,0.0,3.0,3.0,2012,APR,2.0,2012-04-01
