county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
California,31070.0,41259.0,-10189.0,394825.0,425895.0,22565.0,9493.0,8835.0,414.0,244.0,364423.0,140858.0,132748.0,5283.0,2827.0,386988.0,150351.0,141583.0,5697.0,3071.0,13072.0,223565.0,236637.0,38907.0,59.0,2549.0,2608.0,2012,JUL,3.0,2012-07-01
Alameda,0.0,0.0,0.0,10792.0,10792.0,376.0,220.0,143.0,43.0,34.0,10416.0,4587.0,4073.0,347.0,167.0,10792.0,4807.0,4216.0,390.0,201.0,156.0,5829.0,5985.0,0.0,3.0,72.0,75.0,2012,JUL,3.0,2012-07-01
Alpine,0.0,0.0,0.0,21.0,21.0,1.0,1.0,1.0,0.0,0.0,20.0,11.0,11.0,0.0,0.0,21.0,12.0,12.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,2012,JUL,3.0,2012-07-01
Amador,9.0,26.0,-17.0,559.0,568.0,36.0,11.0,10.0,0.0,1.0,516.0,210.0,195.0,10.0,5.0,552.0,221.0,205.0,10.0,6.0,25.0,306.0,331.0,16.0,0.0,1.0,1.0,2012,JUL,3.0,2012-07-01
Butte,43.0,177.0,-134.0,4105.0,4148.0,196.0,53.0,50.0,1.0,2.0,3845.0,1487.0,1411.0,54.0,22.0,4041.0,1540.0,1461.0,55.0,24.0,143.0,2358.0,2501.0,107.0,0.0,8.0,8.0,2012,JUL,3.0,2012-07-01
Calaveras,5.0,4.0,1.0,670.0,675.0,40.0,9.0,9.0,0.0,0.0,616.0,250.0,248.0,0.0,2.0,656.0,259.0,257.0,0.0,2.0,31.0,366.0,397.0,19.0,0.0,0.0,0.0,2012,JUL,3.0,2012-07-01
Colusa,5.0,5.0,0.0,174.0,179.0,14.0,7.0,7.0,0.0,0.0,163.0,55.0,55.0,0.0,0.0,177.0,62.0,62.0,0.0,0.0,7.0,108.0,115.0,2.0,0.0,0.0,0.0,2012,JUL,3.0,2012-07-01
Contra Costa,326.0,341.0,-15.0,5369.0,5695.0,167.0,101.0,50.0,26.0,25.0,5247.0,1573.0,1367.0,132.0,74.0,5414.0,1674.0,1417.0,158.0,99.0,66.0,3674.0,3740.0,281.0,0.0,4.0,4.0,2012,JUL,3.0,2012-07-01
Del Norte,77.0,77.0,0.0,497.0,574.0,53.0,29.0,28.0,1.0,0.0,438.0,222.0,220.0,2.0,0.0,491.0,251.0,248.0,3.0,0.0,24.0,216.0,240.0,83.0,0.0,0.0,0.0,2012,JUL,3.0,2012-07-01
El Dorado,9.0,45.0,-36.0,1637.0,1646.0,90.0,52.0,52.0,0.0,0.0,1522.0,776.0,742.0,19.0,15.0,1612.0,828.0,794.0,19.0,15.0,38.0,746.0,784.0,34.0,0.0,9.0,9.0,2012,JUL,3.0,2012-07-01
