county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Contra Costa,1.0,1.0,1.0,2.0,3.0,4.0,4.0,41.0,42.0,42.0,42.0,43.0,43.0,43.0,4.0,4.0,41.0,42.0,42.0,42.0,43.0,43.0,43.0,4.0,4.0,41.0,42.0,42.0,42.0,43.0,43.0,43.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,2013,JUL,3.0,2013-07-01
Imperial,\N,5.0,11.0,\N,12.0,44.0,414243.0,13.0,474242.0,47.0,47.0,74343.0,7.0,7.0,44.0,414243.0,13.0,474242.0,47.0,47.0,74343.0,7.0,7.0,44.0,414243.0,13.0,474242.0,47.0,47.0,74343.0,7.0,7.0,\N,\N,\N,\N,\N,\N,\N,2013,JUL,3.0,2013-07-01
Orange,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2013,JUL,3.0,2013-07-01
Del Norte,1.0,2.0,3.0,4.0,5.0,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0,30.0,7.0,10.0,13.0,16.0,19.0,22.0,25.0,28.0,31.0,8.0,11.0,14.0,17.0,20.0,23.0,26.0,29.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,2013,JUL,3.0,2013-07-01
California,24912.0,42517.0,-17605.0,389618.0,414530.0,18843.0,9450.0,8743.0,436.0,214.0,222.0,271.0,100.0,171.0,363474.0,140044.0,128611.0,7257.0,1964.0,5293.0,4176.0,1223.0,2953.0,382317.0,149494.0,137354.0,7693.0,2178.0,5515.0,4447.0,1323.0,3124.0,9393.0,223430.0,232823.0,32213.0,48.0,2571.0,2619.0,2013,JUL,3.0,2013-07-01
Alameda,0.0,0.0,0.0,11053.0,11053.0,406.0,291.0,222.0,49.0,0.0,49.0,20.0,0.0,20.0,10647.0,4895.0,4297.0,452.0,0.0,452.0,146.0,0.0,146.0,11053.0,5186.0,4519.0,501.0,0.0,501.0,166.0,0.0,166.0,115.0,5752.0,5867.0,0.0,1.0,138.0,139.0,2013,JUL,3.0,2013-07-01
Alpine,2.0,2.0,0.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,11.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,25.0,11.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2013,JUL,3.0,2013-07-01
Amador,13.0,19.0,-6.0,568.0,581.0,26.0,8.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,534.0,207.0,196.0,6.0,0.0,6.0,5.0,2.0,3.0,560.0,215.0,203.0,7.0,0.0,7.0,5.0,2.0,3.0,18.0,327.0,345.0,21.0,0.0,0.0,0.0,2013,JUL,3.0,2013-07-01
Butte,114.0,141.0,-27.0,4481.0,4595.0,109.0,39.0,37.0,0.0,0.0,0.0,2.0,2.0,0.0,4287.0,1699.0,1595.0,65.0,65.0,0.0,39.0,39.0,0.0,4396.0,1738.0,1632.0,65.0,65.0,0.0,41.0,41.0,0.0,70.0,2588.0,2658.0,199.0,0.0,13.0,13.0,2013,JUL,3.0,2013-07-01
Calaveras,23.0,23.0,0.0,649.0,672.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,285.0,281.0,3.0,3.0,0.0,1.0,1.0,0.0,643.0,295.0,291.0,3.0,3.0,0.0,1.0,1.0,0.0,10.0,338.0,348.0,29.0,0.0,0.0,0.0,2013,JUL,3.0,2013-07-01
