county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Contra Costa,1.0,1.0,1.0,2.0,3.0,4.0,4.0,41.0,42.0,42.0,42.0,43.0,43.0,43.0,4.0,4.0,41.0,42.0,42.0,42.0,43.0,43.0,43.0,4.0,4.0,41.0,42.0,42.0,42.0,43.0,43.0,43.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,2015,APR,2.0,2015-04-01
Imperial,\N,5.0,11.0,\N,12.0,44.0,414243.0,13.0,474242.0,47.0,47.0,74343.0,7.0,7.0,44.0,414243.0,13.0,474242.0,47.0,47.0,74343.0,7.0,7.0,44.0,414243.0,13.0,474242.0,47.0,47.0,74343.0,7.0,7.0,\N,\N,\N,\N,\N,\N,\N,2015,APR,2.0,2015-04-01
Orange,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2015,APR,2.0,2015-04-01
Del Norte,1.0,2.0,3.0,4.0,5.0,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0,30.0,7.0,10.0,13.0,16.0,19.0,22.0,25.0,28.0,31.0,8.0,11.0,14.0,17.0,20.0,23.0,26.0,29.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,2015,APR,2.0,2015-04-01
California,32146.0,37431.0,-5285.0,367619.0,399765.0,13966.0,7353.0,6809.0,288.0,187.0,101.0,256.0,174.0,82.0,347781.0,141377.0,134018.0,4467.0,2232.0,2235.0,2892.0,1574.0,1318.0,361747.0,148730.0,140827.0,4755.0,2419.0,2336.0,3148.0,1748.0,1400.0,6613.0,206404.0,213017.0,38018.0,42.0,2390.0,2432.0,2015,APR,2.0,2015-04-01
Alameda,0.0,0.0,0.0,10999.0,10999.0,387.0,220.0,180.0,23.0,0.0,23.0,17.0,0.0,17.0,10612.0,4252.0,3825.0,263.0,0.0,263.0,164.0,0.0,164.0,10999.0,4472.0,4005.0,286.0,0.0,286.0,181.0,0.0,181.0,167.0,6360.0,6527.0,0.0,3.0,162.0,165.0,2015,APR,2.0,2015-04-01
Alpine,1.0,1.0,0.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,5.0,1.0,1.0,0.0,2.0,2.0,0.0,16.0,8.0,5.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,2015,APR,2.0,2015-04-01
Amador,35.0,37.0,-2.0,445.0,480.0,16.0,6.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,436.0,211.0,200.0,10.0,3.0,7.0,1.0,1.0,0.0,452.0,217.0,204.0,11.0,3.0,8.0,2.0,1.0,1.0,10.0,225.0,235.0,28.0,0.0,0.0,0.0,2015,APR,2.0,2015-04-01
Butte,628.0,632.0,-4.0,4187.0,4815.0,111.0,42.0,38.0,2.0,0.0,2.0,2.0,1.0,1.0,4049.0,1680.0,1572.0,82.0,8.0,74.0,26.0,5.0,21.0,4160.0,1722.0,1610.0,84.0,8.0,76.0,28.0,6.0,22.0,69.0,2369.0,2438.0,655.0,0.0,4.0,4.0,2015,APR,2.0,2015-04-01
Calaveras,21.0,21.0,0.0,617.0,638.0,14.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,595.0,224.0,213.0,6.0,5.0,1.0,5.0,5.0,0.0,609.0,227.0,216.0,6.0,5.0,1.0,5.0,5.0,0.0,11.0,371.0,382.0,29.0,0.0,0.0,0.0,2015,APR,2.0,2015-04-01
