county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Contra Costa,1.0,1.0,1.0,2.0,3.0,4.0,4.0,41.0,42.0,42.0,42.0,43.0,43.0,43.0,4.0,4.0,41.0,42.0,42.0,42.0,43.0,43.0,43.0,4.0,4.0,41.0,42.0,42.0,42.0,43.0,43.0,43.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,2014,OCT,4.0,2014-10-01
Imperial,\N,5.0,11.0,\N,12.0,44.0,414243.0,13.0,474242.0,47.0,47.0,74343.0,7.0,7.0,44.0,414243.0,13.0,474242.0,47.0,47.0,74343.0,7.0,7.0,44.0,414243.0,13.0,474242.0,47.0,47.0,74343.0,7.0,7.0,\N,\N,\N,\N,\N,\N,\N,2014,OCT,4.0,2014-10-01
Orange,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2014,OCT,4.0,2014-10-01
Del Norte,1.0,2.0,3.0,4.0,5.0,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0,30.0,7.0,10.0,13.0,16.0,19.0,22.0,25.0,28.0,31.0,8.0,11.0,14.0,17.0,20.0,23.0,26.0,29.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,2014,OCT,4.0,2014-10-01
California,36664.0,40834.0,169.0,356148.0,392812.0,15380.0,7953.0,7144.0,429.0,274.0,155.0,380.0,284.0,96.0,341210.0,133336.0,124715.0,4665.0,2267.0,2398.0,3956.0,2156.0,1800.0,356590.0,141289.0,131859.0,5094.0,2541.0,2553.0,4336.0,2440.0,1896.0,7427.0,207874.0,215301.0,36222.0,73.0,2340.0,2413.0,2014,OCT,4.0,2014-10-01
Alameda,0.0,0.0,0.0,10425.0,10425.0,389.0,225.0,181.0,31.0,0.0,31.0,13.0,0.0,13.0,10036.0,4304.0,3749.0,364.0,0.0,364.0,191.0,0.0,191.0,10425.0,4529.0,3930.0,395.0,0.0,395.0,204.0,0.0,204.0,164.0,5732.0,5896.0,0.0,2.0,217.0,219.0,2014,OCT,4.0,2014-10-01
Alpine,1.0,1.0,0.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,19.0,9.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0,10.0,5.0,0.0,0.0,0.0,2014,OCT,4.0,2014-10-01
Amador,42.0,44.0,-2.0,424.0,466.0,12.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,163.0,153.0,4.0,1.0,3.0,6.0,4.0,2.0,420.0,168.0,158.0,4.0,1.0,3.0,6.0,4.0,2.0,7.0,245.0,252.0,46.0,0.0,2.0,2.0,2014,OCT,4.0,2014-10-01
Butte,638.0,636.0,2.0,3838.0,4476.0,83.0,37.0,34.0,0.0,0.0,0.0,3.0,1.0,2.0,3911.0,1554.0,1461.0,63.0,13.0,50.0,30.0,8.0,22.0,3994.0,1591.0,1495.0,63.0,13.0,50.0,33.0,9.0,24.0,46.0,2357.0,2403.0,482.0,0.0,2.0,2.0,2014,OCT,4.0,2014-10-01
Calaveras,28.0,28.0,0.0,580.0,608.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,204.0,195.0,5.0,1.0,4.0,4.0,2.0,2.0,589.0,208.0,199.0,5.0,1.0,4.0,4.0,2.0,2.0,8.0,373.0,381.0,19.0,0.0,1.0,1.0,2014,OCT,4.0,2014-10-01
