county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
California,18558.0,30009.0,-11451.0,118239.0,136797.0,16772.0,6521.0,3600.0,853.0,2068.0,90634.0,42960.0,34176.0,4232.0,4552.0,107406.0,49481.0,37776.0,5085.0,6620.0,10251.0,47674.0,57925.0,29391.0,151.0,4176.0,4327.0,2005,OCT,4.0,2005-10-01
Alameda,0.0,0.0,0.0,3372.0,3372.0,555.0,173.0,137.0,5.0,31.0,2817.0,1178.0,1060.0,26.0,92.0,3372.0,1351.0,1197.0,31.0,123.0,382.0,1639.0,2021.0,0.0,2.0,5.0,7.0,2005,OCT,4.0,2005-10-01
Alpine,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Amador,3.0,3.0,0.0,77.0,80.0,4.0,4.0,4.0,0.0,0.0,73.0,65.0,61.0,1.0,3.0,77.0,69.0,65.0,1.0,3.0,0.0,8.0,8.0,3.0,0.0,2.0,2.0,2005,OCT,4.0,2005-10-01
Butte,4.0,4.0,0.0,610.0,614.0,46.0,40.0,40.0,0.0,0.0,564.0,468.0,451.0,7.0,10.0,610.0,508.0,491.0,7.0,10.0,6.0,96.0,102.0,4.0,4.0,52.0,56.0,2005,OCT,4.0,2005-10-01
Calaveras,0.0,0.0,0.0,102.0,102.0,15.0,13.0,12.0,0.0,1.0,87.0,71.0,69.0,2.0,0.0,102.0,84.0,81.0,2.0,1.0,2.0,16.0,18.0,0.0,0.0,1.0,1.0,2005,OCT,4.0,2005-10-01
Colusa,0.0,0.0,0.0,46.0,46.0,3.0,3.0,2.0,1.0,0.0,43.0,29.0,29.0,0.0,0.0,46.0,32.0,31.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,1.0,1.0,2005,OCT,4.0,2005-10-01
Contra Costa,355.0,524.0,-169.0,2282.0,2637.0,306.0,122.0,47.0,25.0,50.0,1679.0,761.0,447.0,142.0,172.0,1985.0,883.0,494.0,167.0,222.0,184.0,918.0,1102.0,652.0,1.0,10.0,11.0,2005,OCT,4.0,2005-10-01
Del Norte,1.0,1.0,0.0,134.0,135.0,13.0,11.0,8.0,1.0,2.0,121.0,106.0,94.0,9.0,3.0,134.0,117.0,102.0,10.0,5.0,2.0,15.0,17.0,1.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
El Dorado,8.0,8.0,0.0,157.0,165.0,21.0,20.0,14.0,3.0,3.0,141.0,104.0,85.0,7.0,12.0,162.0,124.0,99.0,10.0,15.0,1.0,37.0,38.0,3.0,0.0,6.0,6.0,2005,OCT,4.0,2005-10-01
Fresno,1098.0,1098.0,0.0,3602.0,4700.0,2374.0,771.0,698.0,53.0,20.0,1286.0,1219.0,1079.0,91.0,49.0,3660.0,1990.0,1777.0,144.0,69.0,1603.0,67.0,1670.0,1040.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Glenn,0.0,0.0,0.0,60.0,60.0,13.0,13.0,13.0,0.0,0.0,47.0,41.0,41.0,0.0,0.0,60.0,54.0,54.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,6.0,2005,OCT,4.0,2005-10-01
Humboldt,0.0,0.0,0.0,602.0,602.0,38.0,8.0,1.0,1.0,6.0,564.0,494.0,380.0,38.0,76.0,602.0,502.0,381.0,39.0,82.0,30.0,70.0,100.0,0.0,9.0,21.0,30.0,2005,OCT,4.0,2005-10-01
Imperial,24.0,24.0,0.0,26.0,50.0,25.0,24.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,24.0,20.0,4.0,0.0,1.0,0.0,1.0,25.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Inyo,0.0,0.0,0.0,42.0,42.0,3.0,3.0,3.0,0.0,0.0,38.0,32.0,29.0,2.0,1.0,41.0,35.0,32.0,2.0,1.0,0.0,6.0,6.0,1.0,0.0,5.0,5.0,2005,OCT,4.0,2005-10-01
Kern,38.0,155.0,-117.0,4800.0,4838.0,1245.0,206.0,198.0,2.0,6.0,3562.0,1295.0,1267.0,14.0,14.0,4807.0,1501.0,1465.0,16.0,20.0,1039.0,2267.0,3306.0,31.0,65.0,239.0,304.0,2005,OCT,4.0,2005-10-01
Kings,6.0,6.0,0.0,618.0,624.0,136.0,57.0,54.0,3.0,0.0,486.0,264.0,238.0,19.0,7.0,622.0,321.0,292.0,22.0,7.0,79.0,222.0,301.0,2.0,16.0,34.0,50.0,2005,OCT,4.0,2005-10-01
Lake,2.0,2.0,0.0,211.0,213.0,129.0,29.0,26.0,0.0,3.0,82.0,59.0,46.0,8.0,5.0,211.0,88.0,72.0,8.0,8.0,100.0,23.0,123.0,2.0,0.0,5.0,5.0,2005,OCT,4.0,2005-10-01
Lassen,6.0,6.0,0.0,200.0,206.0,65.0,15.0,10.0,4.0,1.0,140.0,67.0,61.0,6.0,0.0,205.0,82.0,71.0,10.0,1.0,50.0,73.0,123.0,1.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Los Angeles,7326.0,15613.0,-8287.0,62324.0,69650.0,4918.0,3004.0,882.0,531.0,1591.0,48963.0,22735.0,17811.0,2004.0,2920.0,53881.0,25739.0,18693.0,2535.0,4511.0,1914.0,26228.0,28142.0,15769.0,25.0,3535.0,3560.0,2005,OCT,4.0,2005-10-01
Madera,2.0,2.0,0.0,258.0,260.0,32.0,28.0,27.0,1.0,0.0,228.0,151.0,150.0,0.0,1.0,260.0,179.0,177.0,1.0,1.0,4.0,77.0,81.0,0.0,2.0,8.0,10.0,2005,OCT,4.0,2005-10-01
Marin,100.0,100.0,0.0,101.0,201.0,4.0,3.0,3.0,0.0,0.0,93.0,76.0,72.0,3.0,1.0,97.0,79.0,75.0,3.0,1.0,1.0,17.0,18.0,104.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Mariposa,0.0,0.0,0.0,24.0,24.0,5.0,5.0,5.0,0.0,0.0,19.0,16.0,14.0,0.0,2.0,24.0,21.0,19.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Mendocino,0.0,3.0,-3.0,262.0,262.0,34.0,33.0,33.0,0.0,0.0,226.0,211.0,194.0,10.0,7.0,260.0,244.0,227.0,10.0,7.0,1.0,15.0,16.0,2.0,0.0,2.0,2.0,2005,OCT,4.0,2005-10-01
Merced,191.0,208.0,-17.0,1149.0,1340.0,256.0,50.0,35.0,4.0,11.0,896.0,213.0,160.0,22.0,31.0,1152.0,263.0,195.0,26.0,42.0,206.0,683.0,889.0,188.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Modoc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Mono,4.0,4.0,0.0,9.0,13.0,1.0,1.0,1.0,0.0,0.0,8.0,7.0,6.0,1.0,0.0,9.0,8.0,7.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Monterey,10.0,18.0,-8.0,1219.0,1229.0,140.0,35.0,33.0,1.0,1.0,1078.0,330.0,322.0,6.0,2.0,1218.0,365.0,355.0,7.0,3.0,105.0,748.0,853.0,11.0,0.0,2.0,2.0,2005,OCT,4.0,2005-10-01
Napa,1.0,1.0,0.0,407.0,408.0,78.0,0.0,0.0,0.0,0.0,321.0,110.0,99.0,9.0,2.0,399.0,110.0,99.0,9.0,2.0,78.0,211.0,289.0,9.0,1.0,8.0,9.0,2005,OCT,4.0,2005-10-01
Nevada,181.0,181.0,0.0,87.0,268.0,5.0,4.0,3.0,0.0,1.0,77.0,62.0,57.0,2.0,3.0,82.0,66.0,60.0,2.0,4.0,1.0,15.0,16.0,186.0,0.0,2.0,2.0,2005,OCT,4.0,2005-10-01
Orange,34.0,34.0,0.0,467.0,501.0,50.0,37.0,37.0,0.0,0.0,416.0,330.0,330.0,0.0,0.0,466.0,367.0,367.0,0.0,0.0,13.0,86.0,99.0,35.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Placer,174.0,174.0,0.0,746.0,920.0,122.0,70.0,14.0,16.0,40.0,682.0,222.0,80.0,69.0,73.0,804.0,292.0,94.0,85.0,113.0,52.0,460.0,512.0,116.0,0.0,2.0,2.0,2005,OCT,4.0,2005-10-01
Plumas,5.0,5.0,0.0,45.0,50.0,4.0,2.0,2.0,0.0,0.0,41.0,28.0,26.0,0.0,2.0,45.0,30.0,28.0,0.0,2.0,2.0,13.0,15.0,5.0,0.0,3.0,3.0,2005,OCT,4.0,2005-10-01
Riverside,92.0,92.0,0.0,5071.0,5163.0,941.0,394.0,349.0,38.0,7.0,4090.0,1423.0,1354.0,59.0,10.0,5031.0,1817.0,1703.0,97.0,17.0,547.0,2667.0,3214.0,132.0,14.0,25.0,39.0,2005,OCT,4.0,2005-10-01
Sacramento,982.0,3622.0,-2640.0,4435.0,5417.0,1051.0,428.0,308.0,73.0,47.0,2937.0,922.0,419.0,350.0,153.0,3988.0,1350.0,727.0,423.0,200.0,623.0,2015.0,2638.0,1429.0,0.0,7.0,7.0,2005,OCT,4.0,2005-10-01
San Benito,0.0,0.0,0.0,70.0,70.0,20.0,20.0,20.0,0.0,0.0,50.0,47.0,47.0,0.0,0.0,70.0,67.0,67.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
San Bernardino,176.0,176.0,0.0,3489.0,3665.0,189.0,103.0,89.0,6.0,8.0,2786.0,2406.0,1628.0,596.0,182.0,2975.0,2509.0,1717.0,602.0,190.0,86.0,380.0,466.0,690.0,0.0,10.0,10.0,2005,OCT,4.0,2005-10-01
San Diego,69.0,69.0,0.0,6289.0,6358.0,2222.0,79.0,78.0,1.0,0.0,4104.0,1485.0,1457.0,20.0,8.0,6326.0,1564.0,1535.0,21.0,8.0,2143.0,2619.0,4762.0,32.0,0.0,12.0,12.0,2005,OCT,4.0,2005-10-01
San Francisco,1.0,1.0,0.0,132.0,133.0,12.0,5.0,3.0,2.0,0.0,105.0,59.0,39.0,8.0,12.0,117.0,64.0,42.0,10.0,12.0,7.0,46.0,53.0,16.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
San Joaquin,3.0,3.0,0.0,323.0,326.0,44.0,43.0,35.0,5.0,3.0,278.0,259.0,239.0,18.0,2.0,322.0,302.0,274.0,23.0,5.0,1.0,19.0,20.0,4.0,0.0,2.0,2.0,2005,OCT,4.0,2005-10-01
San Luis Obispo,2703.0,2703.0,0.0,459.0,3162.0,82.0,46.0,45.0,1.0,0.0,317.0,165.0,159.0,4.0,2.0,399.0,211.0,204.0,5.0,2.0,36.0,152.0,188.0,2763.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
San Mateo,7.0,7.0,0.0,444.0,451.0,21.0,12.0,10.0,0.0,2.0,363.0,250.0,156.0,51.0,43.0,384.0,262.0,166.0,51.0,45.0,9.0,113.0,122.0,67.0,1.0,8.0,9.0,2005,OCT,4.0,2005-10-01
Santa Barbara,0.0,0.0,0.0,1612.0,1612.0,109.0,6.0,6.0,0.0,0.0,1503.0,349.0,342.0,7.0,0.0,1612.0,355.0,348.0,7.0,0.0,103.0,1154.0,1257.0,0.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Santa Clara,1687.0,1687.0,0.0,2614.0,4301.0,508.0,286.0,103.0,41.0,142.0,1453.0,433.0,138.0,85.0,210.0,1961.0,719.0,241.0,126.0,352.0,222.0,1020.0,1242.0,2340.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Santa Cruz,30.0,35.0,-5.0,234.0,264.0,13.0,4.0,1.0,0.0,3.0,181.0,150.0,55.0,21.0,74.0,194.0,154.0,56.0,21.0,77.0,9.0,31.0,40.0,70.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Shasta,419.0,419.0,0.0,389.0,808.0,32.0,25.0,11.0,0.0,14.0,359.0,250.0,227.0,15.0,8.0,391.0,275.0,238.0,15.0,22.0,7.0,109.0,116.0,417.0,0.0,8.0,8.0,2005,OCT,4.0,2005-10-01
Sierra,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,OCT,4.0,2005-10-01
Siskiyou,0.0,13.0,-13.0,151.0,151.0,23.0,19.0,18.0,1.0,0.0,125.0,90.0,88.0,0.0,2.0,148.0,109.0,106.0,1.0,2.0,4.0,35.0,39.0,3.0,0.0,5.0,5.0,2005,OCT,4.0,2005-10-01
