county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
California,22458.0,34320.0,-11862.0,259631.0,282089.0,18469.0,8008.0,7218.0,463.0,327.0,235319.0,99300.0,91617.0,4982.0,2701.0,253788.0,107308.0,98835.0,5445.0,3028.0,10461.0,136019.0,146480.0,28301.0,126.0,7583.0,7709.0,2010,JAN,1.0,2010-01-01
Alameda,0.0,0.0,0.0,5848.0,5848.0,207.0,164.0,146.0,9.0,9.0,5641.0,4508.0,4364.0,104.0,40.0,5848.0,4672.0,4510.0,113.0,49.0,43.0,1133.0,1176.0,0.0,0.0,132.0,132.0,2010,JAN,1.0,2010-01-01
Alpine,0.0,0.0,0.0,13.0,13.0,1.0,1.0,1.0,0.0,0.0,10.0,6.0,6.0,0.0,0.0,11.0,7.0,7.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,2010,JAN,1.0,2010-01-01
Amador,0.0,0.0,0.0,130.0,130.0,9.0,7.0,7.0,0.0,0.0,121.0,63.0,57.0,4.0,2.0,130.0,70.0,64.0,4.0,2.0,2.0,58.0,60.0,0.0,0.0,0.0,0.0,2010,JAN,1.0,2010-01-01
Butte,4.0,4.0,0.0,987.0,991.0,34.0,25.0,22.0,2.0,1.0,956.0,818.0,752.0,48.0,18.0,990.0,843.0,774.0,50.0,19.0,9.0,138.0,147.0,1.0,3.0,21.0,24.0,2010,JAN,1.0,2010-01-01
Calaveras,0.0,0.0,0.0,187.0,187.0,11.0,8.0,8.0,0.0,0.0,172.0,80.0,79.0,0.0,1.0,183.0,88.0,87.0,0.0,1.0,3.0,92.0,95.0,4.0,0.0,0.0,0.0,2010,JAN,1.0,2010-01-01
Colusa,0.0,0.0,0.0,58.0,58.0,4.0,2.0,2.0,0.0,0.0,54.0,49.0,49.0,0.0,0.0,58.0,51.0,51.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,1.0,1.0,2010,JAN,1.0,2010-01-01
Contra Costa,1942.0,2056.0,-114.0,4941.0,6883.0,129.0,129.0,101.0,17.0,11.0,4585.0,1688.0,1315.0,307.0,66.0,4714.0,1817.0,1416.0,324.0,77.0,0.0,2897.0,2897.0,2169.0,0.0,13.0,13.0,2010,JAN,1.0,2010-01-01
Del Norte,10.0,10.0,0.0,167.0,177.0,11.0,10.0,9.0,0.0,1.0,156.0,129.0,122.0,7.0,0.0,167.0,139.0,131.0,7.0,1.0,1.0,27.0,28.0,10.0,0.0,0.0,0.0,2010,JAN,1.0,2010-01-01
El Dorado,34.0,34.0,0.0,845.0,879.0,48.0,16.0,14.0,1.0,1.0,747.0,272.0,238.0,20.0,14.0,795.0,288.0,252.0,21.0,15.0,32.0,475.0,507.0,84.0,0.0,0.0,0.0,2010,JAN,1.0,2010-01-01
