county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
California,34884.0,38013.0,-3129.0,386238.0,421122.0,15107.0,8049.0,7305.0,438.0,300.0,138.0,306.0,223.0,83.0,365931.0,144540.0,136393.0,5006.0,2369.0,2637.0,3141.0,1701.0,1440.0,381038.0,152589.0,143698.0,5444.0,2669.0,2775.0,3447.0,1924.0,1523.0,7058.0,221391.0,228449.0,40084.0,51.0,2683.0,2734.0,2015,JUL,3.0,2015-07-01
Alameda,0.0,0.0,0.0,11441.0,11441.0,389.0,218.0,182.0,23.0,0.0,23.0,13.0,0.0,13.0,11052.0,4221.0,3744.0,326.0,0.0,326.0,151.0,0.0,151.0,11441.0,4439.0,3926.0,349.0,0.0,349.0,164.0,0.0,164.0,171.0,6831.0,7002.0,0.0,2.0,210.0,212.0,2015,JUL,3.0,2015-07-01
Alpine,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,2015,JUL,3.0,2015-07-01
Amador,25.0,28.0,-3.0,442.0,467.0,17.0,7.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,404.0,176.0,170.0,4.0,0.0,4.0,2.0,0.0,2.0,421.0,183.0,176.0,4.0,0.0,4.0,3.0,1.0,2.0,10.0,228.0,238.0,46.0,1.0,4.0,5.0,2015,JUL,3.0,2015-07-01
Butte,651.0,655.0,-4.0,4741.0,5392.0,87.0,33.0,28.0,2.0,0.0,2.0,3.0,0.0,3.0,4343.0,1781.0,1652.0,93.0,8.0,85.0,36.0,8.0,28.0,4430.0,1814.0,1680.0,95.0,8.0,87.0,39.0,8.0,31.0,54.0,2562.0,2616.0,962.0,1.0,7.0,8.0,2015,JUL,3.0,2015-07-01
Calaveras,29.0,29.0,0.0,590.0,619.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,254.0,239.0,11.0,7.0,4.0,4.0,2.0,2.0,593.0,256.0,241.0,11.0,7.0,4.0,4.0,2.0,2.0,4.0,333.0,337.0,26.0,0.0,0.0,0.0,2015,JUL,3.0,2015-07-01
Colusa,35.0,35.0,0.0,201.0,236.0,6.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,201.0,55.0,53.0,1.0,1.0,0.0,1.0,0.0,1.0,207.0,57.0,54.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,146.0,150.0,29.0,0.0,0.0,0.0,2015,JUL,3.0,2015-07-01
Contra Costa,237.0,237.0,0.0,5317.0,5554.0,151.0,71.0,67.0,3.0,0.0,3.0,1.0,0.0,1.0,5158.0,1770.0,1716.0,42.0,0.0,42.0,12.0,0.0,12.0,5309.0,1841.0,1783.0,45.0,0.0,45.0,13.0,0.0,13.0,80.0,3388.0,3468.0,245.0,0.0,9.0,9.0,2015,JUL,3.0,2015-07-01
Del Norte,183.0,183.0,0.0,624.0,807.0,31.0,17.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,598.0,202.0,191.0,9.0,4.0,5.0,2.0,1.0,1.0,629.0,219.0,207.0,10.0,4.0,6.0,2.0,1.0,1.0,14.0,396.0,410.0,178.0,0.0,0.0,0.0,2015,JUL,3.0,2015-07-01
El Dorado,138.0,140.0,-2.0,2008.0,2146.0,56.0,26.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1893.0,754.0,713.0,17.0,15.0,2.0,24.0,18.0,6.0,1949.0,780.0,738.0,18.0,16.0,2.0,24.0,18.0,6.0,30.0,1139.0,1169.0,197.0,0.0,0.0,0.0,2015,JUL,3.0,2015-07-01
