county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Santa Cruz,1.0,2.0,3.0,4.0,5.0,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0,30.0,7.0,10.0,13.0,16.0,19.0,22.0,25.0,28.0,31.0,8.0,11.0,14.0,17.0,20.0,23.0,26.0,29.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,2015,OCT,4.0,2015-10-01
California,36577.0,40084.0,-3507.0,346247.0,382824.0,14220.0,7758.0,6839.0,427.0,279.0,148.0,492.0,318.0,174.0,334504.0,133262.0,125217.0,4565.0,1996.0,2569.0,3480.0,1640.0,1840.0,348724.0,141020.0,132056.0,4992.0,2275.0,2717.0,3972.0,1958.0,2014.0,6462.0,201242.0,207704.0,34100.0,55.0,2120.0,2175.0,2015,OCT,4.0,2015-10-01
Alameda,0.0,0.0,0.0,9387.0,9387.0,306.0,177.0,132.0,25.0,0.0,25.0,20.0,0.0,20.0,9081.0,3744.0,3122.0,376.0,0.0,376.0,246.0,0.0,246.0,9387.0,3921.0,3254.0,401.0,0.0,401.0,266.0,0.0,266.0,129.0,5337.0,5466.0,0.0,2.0,123.0,125.0,2015,OCT,4.0,2015-10-01
Alpine,1.0,1.0,0.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,15.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,2015,OCT,4.0,2015-10-01
Amador,46.0,46.0,0.0,427.0,473.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,191.0,183.0,7.0,1.0,6.0,1.0,0.0,1.0,432.0,196.0,188.0,7.0,1.0,6.0,1.0,0.0,1.0,5.0,231.0,236.0,41.0,0.0,0.0,0.0,2015,OCT,4.0,2015-10-01
Butte,955.0,962.0,-7.0,4368.0,5323.0,101.0,38.0,32.0,5.0,3.0,2.0,1.0,1.0,0.0,4732.0,1746.0,1608.0,95.0,6.0,89.0,43.0,6.0,37.0,4833.0,1784.0,1640.0,100.0,9.0,91.0,44.0,7.0,37.0,63.0,2986.0,3049.0,490.0,0.0,27.0,27.0,2015,OCT,4.0,2015-10-01
Calaveras,26.0,26.0,0.0,554.0,580.0,17.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,228.0,214.0,8.0,3.0,5.0,6.0,4.0,2.0,560.0,232.0,218.0,8.0,3.0,5.0,6.0,4.0,2.0,13.0,315.0,328.0,20.0,0.0,0.0,0.0,2015,OCT,4.0,2015-10-01
Colusa,29.0,29.0,0.0,227.0,256.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,62.0,59.0,2.0,0.0,2.0,1.0,1.0,0.0,196.0,65.0,62.0,2.0,0.0,2.0,1.0,1.0,0.0,4.0,127.0,131.0,60.0,0.0,1.0,1.0,2015,OCT,4.0,2015-10-01
Contra Costa,247.0,245.0,2.0,4465.0,4712.0,135.0,77.0,75.0,2.0,0.0,2.0,0.0,0.0,0.0,4379.0,1525.0,1477.0,37.0,0.0,37.0,11.0,0.0,11.0,4514.0,1602.0,1552.0,39.0,0.0,39.0,11.0,0.0,11.0,58.0,2854.0,2912.0,198.0,1.0,8.0,9.0,2015,OCT,4.0,2015-10-01
Del Norte,178.0,178.0,0.0,573.0,751.0,31.0,18.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,548.0,202.0,189.0,8.0,6.0,2.0,5.0,4.0,1.0,579.0,220.0,206.0,9.0,6.0,3.0,5.0,4.0,1.0,13.0,346.0,359.0,172.0,0.0,0.0,0.0,2015,OCT,4.0,2015-10-01
