,Number of Household Contacts By Race,,,,,,,,,,,,,,,"Number of Household Contacts By Race, Cont'd.",,,,,,,,,,,,,,,"Number of Household Contacts By Race, Cont'd.",,,,,,,,,,,,,,,"Number of Household Contacts By Race, Cont'd.",,,,,,,,,,,,,,,"Number of Household Contacts By Race, Cont'd.",,,,,,,,,,,,"Number of Household Contacts By Race, Cont'd.",,,,,,,,,Number of Hispanic or Latino Household Contacts Reproted in Section A. By Race,,,,,,,,,,,,,,,"Number of Hispanic or Latino Household Contacts Reproted in Section A. By Race, Cont'd.",,,,,,,,,,,,,,,"Number of Hispanic or Latino Household Contacts Reproted in Section A. By Race, Cont'd.",,,,,,,,,,,,,,,"Number of Hispanic or Latino Household Contacts Reproted in Section A. By Race, Cont'd.",,,,,,,,,,,,,,,"Number of Hispanic or Latino Household Contacts Reproted in Section A. By Race, Cont'd.",,,,,,,,,,,,"Number of Hispanic or Latino Household Contacts Reproted in Section A. By Race, Cont'd.",,,,,,,,
,Household Contacts Who Marked Only One Race,,,,,,,,,,,,,,,"Household Contacts Who Marked Only One Race, Cont'd.",,,,,,,,,,,,,,,"Household Contacts Who Marked Only One Race, Cont'd.",,,,,,,,,,,,,,,,,,"Household Contacts Who Marked Only One Race, Cont'd.",,,,,,,,,,,,Household Contracts Who Marked Two Races,,,,,,,,,,,,Other--Household Contacts Who Chose Racial Combinations Not Included Above,,,Nonreporting Household Contacts Where Worker Unable to Make Race Determination,,,,,,Household Contacts Who Marked Only One Race,,,,,,,,,,,,,,,"Household Contacts Who Marked Only One Race, Cont'd.",,,,,,,,,,,,,,,"Household Contacts Who Marked Only One Race, Cont'd.",,,,,,,,,,,,,,,,,,"Household Contacts Who Marked Only One Race, Cont'd.",,,,,,,,,,,,Household Contracts Who Marked Two Races,,,,,,,,,,,,Other--Household Contacts Who Chose Racial Combinations Not Included Above,,,Nonreporting Household Contacts Where Worker Unable to Make Race Determination,,,,,
,,,,Asian Categories,,,,,,,,,,,,"Asian Categories, Cont'd.",,,,,,,,,,,,,,,"Asian Categories, Cont'd.",,,,,,,,,Native Hawaiian or Other Pacific Islander,,,,,,"Native Hawaiian or Other Pacific Islander, Cont'd.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTALS,,,,,,Asian Categories,,,,,,,,,,,,"Asian Categories, Cont'd.",,,,,,,,,,,,,,,"Asian Categories, Cont'd.",,,,,,,,,Native Hawaiian or Other Pacific Islander,,,,,,"Native Hawaiian or Other Pacific Islander, Cont'd.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTALS,,
,"American Indian or
Alaskan Native",,,,Total Asian,,,Asian Indian,,Cambodian,,,,Chinese,,,Japanese,,,Filipino,,,Korean,,,Laotian,,,Vietnamese,,,Other Asian,,More Than One Asian Group,,,,Black or African American,,Total Hawaiian or Other Pacific Islander,,,,Native Hawaiian,,,Guamanian,,,Somoan,,,Other Pacific Islander,,More Than One Native Hawaiian or Pacific Islander Group,,,,White,,American Indian or Alaskan Native and White,,,,Asian and White,,Black or African American and White,,,American Indian or Alaska Native and Black or African American,,,Reporting Race(s) Not Included Above,,,Worker Unable to Determine Race,,,PAFS Households,NAFS Households,Total,"American Indian or
Alaskan Native",,,,Total Asian,,,Asian Indian,,Cambodian,,,,Chinese,,,Japanese,,,Filipino,,,Korean,,,Laotian,,,Vietnamese,,,Other Asian,,More Than One Asian Group,,,,Black or African American,,Total Hawaiian or Other Pacific Islander,,,,Native Hawaiian,,,Guamanian,,,Somoan,,,Other Pacific Islander,,More Than One Native Hawaiian or Pacific Islander Group,,,,White,,American Indian or Alaskan Native and White,,,,Asian and White,,Black or African American and White,,,American Indian or Alaska Native and Black or African American,,,Reporting Race(s) Not Included Above,,,Worker Unable to Determine Race,,,PAFS Households,NAFS Households,Total
,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,,,,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,,,
Data Cell,1.0,2.0,3.0,7.0,8.0,9.0,13.0,14.0,15.0,19.0,20.0,21.0,25.0,26.0,27.0,31.0,32.0,33.0,37.0,38.0,39.0,43.0,44.0,45.0,49.0,50.0,51.0,55.0,56.0,57.0,61.0,62.0,63.0,67.0,68.0,69.0,73.0,74.0,75.0,79.0,80.0,81.0,85.0,86.0,87.0,91.0,92.0,93.0,97.0,98.0,99.0,103.0,104.0,105.0,109.0,110.0,111.0,115.0,116.0,117.0,121.0,122.0,123.0,127.0,128.0,129.0,133.0,134.0,135.0,139.0,140.0,141.0,145.0,146.0,147.0,151.0,152.0,153.0,157.0,158.0,159.0,4.0,5.0,6.0,10.0,11.0,12.0,16.0,17.0,18.0,22.0,23.0,24.0,28.0,29.0,30.0,34.0,35.0,36.0,40.0,41.0,42.0,46.0,47.0,48.0,52.0,53.0,54.0,58.0,59.0,60.0,64.0,65.0,66.0,70.0,71.0,72.0,76.0,77.0,78.0,82.0,83.0,84.0,88.0,89.0,90.0,94.0,95.0,96.0,100.0,101.0,102.0,106.0,107.0,108.0,112.0,113.0,114.0,118.0,119.0,120.0,124.0,125.0,126.0,130.0,131.0,132.0,136.0,137.0,138.0,142.0,143.0,144.0,148.0,149.0,150.0,154.0,155.0,156.0,160.0,161.0,162.0
Statewide,5840.0,14601.0,20441.0,14740.0,40212.0,54952.0,711.0,2107.0,2818.0,1948.0,3399.0,5347.0,1883.0,6751.0,8634.0,150.0,417.0,567.0,1769.0,4970.0,6739.0,293.0,1007.0,1300.0,1439.0,2648.0,4087.0,3274.0,12915.0,16189.0,3192.0,5695.0,8887.0,81.0,303.0,384.0,47940.0,122070.0,170010.0,1466.0,3248.0,4714.0,310.0,707.0,1017.0,132.0,417.0,549.0,661.0,1406.0,2067.0,333.0,652.0,985.0,30.0,66.0,96.0,72214.0,196550.0,268764.0,94.0,511.0,605.0,127.0,444.0,571.0,98.0,391.0,489.0,159.0,542.0,701.0,1798.0,8911.0,10709.0,106490.0,201815.0,308305.0,249504.0,587294.0,836798.0,3773.0,8265.0,12038.0,137.0,685.0,822.0,84.0,335.0,419.0,6.0,62.0,68.0,0.0,7.0,7.0,1.0,6.0,7.0,14.0,61.0,75.0,0.0,0.0,0.0,15.0,99.0,114.0,2.0,9.0,11.0,9.0,60.0,69.0,6.0,46.0,52.0,77.0,329.0,406.0,80.0,437.0,517.0,13.0,59.0,72.0,11.0,135.0,146.0,35.0,174.0,209.0,21.0,59.0,80.0,0.0,10.0,10.0,7087.0,40630.0,47717.0,32.0,211.0,243.0,34.0,147.0,181.0,6.0,51.0,57.0,6.0,52.0,58.0,742.0,2844.0,3586.0,61199.0,102831.0,164030.0,71711.0,154481.0,226192.0
Alameda,53.0,98.0,151.0,1547.0,2878.0,4425.0,87.0,162.0,249.0,122.0,227.0,349.0,373.0,694.0,1067.0,7.0,13.0,20.0,186.0,346.0,532.0,19.0,34.0,53.0,38.0,71.0,109.0,458.0,852.0,1310.0,256.0,477.0,733.0,1.0,2.0,3.0,5717.0,10645.0,16362.0,121.0,227.0,348.0,14.0,26.0,40.0,6.0,12.0,18.0,41.0,77.0,118.0,60.0,112.0,172.0,0.0,0.0,0.0,1685.0,3137.0,4822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,215.0,331.0,2144.0,3994.0,6138.0,11383.0,21194.0,32577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,215.0,331.0,2113.0,3936.0,6049.0,2229.0,4151.0,6380.0
Alpine,1.0,24.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,32.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Amador,4.0,16.0,20.0,3.0,7.0,10.0,2.0,5.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,379.0,500.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,40.0,45.0,133.0,447.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,4.0,5.0
Butte,162.0,661.0,823.0,170.0,422.0,592.0,57.0,106.0,163.0,2.0,8.0,10.0,1.0,4.0,5.0,0.0,4.0,4.0,1.0,11.0,12.0,0.0,1.0,1.0,95.0,250.0,345.0,2.0,6.0,8.0,12.0,32.0,44.0,0.0,0.0,0.0,80.0,259.0,339.0,6.0,13.0,19.0,2.0,8.0,10.0,2.0,2.0,4.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1326.0,4758.0,6084.0,3.0,35.0,38.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,49.0,56.0,5.0,28.0,33.0,1759.0,6231.0,7990.0,118.0,561.0,679.0,0.0,6.0,6.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,43.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,44.0,51.0,3.0,23.0,26.0,143.0,679.0,822.0
