,Number of Household Contacts By Race,,,,,,,,,,,,,,,Number of Household Contacts By Race (Continued),,,,,,,,,,,,,,,Number of Household Contacts By Race (Continued),,,,,,,,,,,,,,,Number of Household Contacts By Race (Continued),,,,,,,,,,,,,,,Number of Household Contacts By Race (Continued),,,,,,,,,,,,Number of Household Contacts By Race (Continued),,,,,,,,,Number of Hispanic or Latino Household Contacts Reported in Section A. By Race,,,,,,,,,,,,,,,Number of Hispanic or Latino Household Contacts Reported in Section A. By Race (Continued),,,,,,,,,,,,,,,Number of Hispanic or Latino Household Contacts Reported in Section A. By Race (Continued),,,,,,,,,,,,,,,Number of Hispanic or Latino Household Contacts Reported in Section A. By Race (Continued),,,,,,,,,,,,,,,Number of Hispanic or Latino Household Contacts Reported in Section A. By Race (Continued),,,,,,,,,,,,"Number of Hispanic or Latino Household Contacts 
Reported in Section A. By Race (Continued)",,,,,,,,,CDSS Use Only:
,Household Contacts Who Marked Only One Race,,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contracts Who Marked Two Races,,,,,,,,,,,,Other--Household Contacts Who Chose Racial Combinations Not Included Above,,,Nonreporting Household Contacts Where Worker Unable to Make Race Determination,,,TOTALS,,,Household Contacts Who Marked Only One Race,,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contracts Who Marked Two Races,,,,,,,,,,,,Other--Household Contacts Who Chose Racial Combinations Not Included Above,,,Nonreporting Household Contacts Where Worker Unable to Make Race Determination,,,TOTALS,,,12540506.0
,,,,Asian Categories,,,,,,,,,,,,Asian Categories (Continued),,,,,,,,,,,,,,,Asian Categories (Continued),,,,,,,,,Native Hawaiian or Other Pacific Islander,,,,,,Native Hawaiian or Other Pacific Islander (Continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Categories,,,,,,,,,,,,Asian Categories (Continued),,,,,,,,,,,,,,,"Asian Categories 
(Continued)",,,,,,,,,"Native Hawaiian or 
Other Pacific Islander",,,,,,Native Hawaiian or Other Pacific Islander (Continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"American Indian or
Alaskan Native",,,Total Asian,,,Asian Indian,,,Cambodian,,,Chinese,,,Japanese,,,Filipino,,,Korean,,,Laotian,,,Vietnamese,,,Other Asian,,,More Than One Asian Group,,,"Black or 
African American",,,"Total Hawaiian or 
Other Pacific Islander",,,Native Hawaiian,,,Guamanian,,,Samoan,,,Other Pacific Islander,,,More Than One Native Hawaiian or Pacific Islander Group,,,White,,,American Indian or Alaskan Native and White,,,Asian and White,,,"Black or African American
and White",,,American Indian or Alaska Native and Black or African American,,,Reporting Race(s) Not Included Above,,,Worker Unable to Determine Race,,,PAFS Households,NAFS Households,Total,"American Indian or
Alaskan Native",,,Total Asian,,,Asian Indian,,,Cambodian,,,Chinese,,,Japanese,,,Filipino,,,Korean,,,Laotian,,,Vietnamese,,,Other Asian,,,More Than One Asian Group,,,"Black or 
African American",,,"Total Hawaiian or 
Other Pacific Islander",,,"Native 
Hawaiian",,,Guamanian,,,Samoan,,,"Other Pacific 
Islander",,,More Than One Native Hawaiian or Pacific Islander Group,,,White,,,American Indian or Alaskan Native and White,,,"Asian 
and White",,,"Black or African American 
and White",,,American Indian or Alaska Native and Black or African American,,,Reporting Race(s) Not Included Above,,,Worker Unable to Determine Race,,,PAFS Households,NAFS Households,Total,
,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,,,,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,,,,
Data Cell,1.0,2.0,3.0,7.0,8.0,9.0,13.0,14.0,15.0,19.0,20.0,21.0,25.0,26.0,27.0,31.0,32.0,33.0,37.0,38.0,39.0,43.0,44.0,45.0,49.0,50.0,51.0,55.0,56.0,57.0,61.0,62.0,63.0,67.0,68.0,69.0,73.0,74.0,75.0,79.0,80.0,81.0,85.0,86.0,87.0,91.0,92.0,93.0,97.0,98.0,99.0,103.0,104.0,105.0,109.0,110.0,111.0,115.0,116.0,117.0,121.0,122.0,123.0,127.0,128.0,129.0,133.0,134.0,135.0,139.0,140.0,141.0,145.0,146.0,147.0,151.0,152.0,153.0,157.0,158.0,159.0,4.0,5.0,6.0,10.0,11.0,12.0,16.0,17.0,18.0,22.0,23.0,24.0,28.0,29.0,30.0,34.0,35.0,36.0,40.0,41.0,42.0,46.0,47.0,48.0,52.0,53.0,54.0,58.0,59.0,60.0,64.0,65.0,66.0,70.0,71.0,72.0,76.0,77.0,78.0,82.0,83.0,84.0,88.0,89.0,90.0,94.0,95.0,96.0,100.0,101.0,102.0,106.0,107.0,108.0,112.0,113.0,114.0,118.0,119.0,120.0,124.0,125.0,126.0,130.0,131.0,132.0,136.0,137.0,138.0,142.0,143.0,144.0,148.0,149.0,150.0,154.0,155.0,156.0,160.0,161.0,162.0,
Statewide,4036.0,20922.0,24958.0,11397.0,100613.0,112010.0,909.0,5598.0,6507.0,1208.0,6204.0,7412.0,1272.0,15791.0,17063.0,166.0,1536.0,1702.0,2480.0,21279.0,23759.0,347.0,4163.0,4510.0,921.0,5420.0,6341.0,2046.0,27731.0,29777.0,1900.0,11821.0,13721.0,148.0,1070.0,1218.0,45664.0,253662.0,299326.0,3391.0,21998.0,25389.0,456.0,2662.0,3118.0,673.0,3919.0,4592.0,793.0,5162.0,5955.0,1449.0,10099.0,11548.0,20.0,156.0,176.0,136426.0,841537.0,977963.0,993.0,5498.0,6491.0,490.0,2658.0,3148.0,1217.0,5620.0,6837.0,158.0,909.0,1067.0,29941.0,163462.0,193403.0,73788.0,335750.0,409538.0,307501.0,1752629.0,2060130.0,1900.0,8181.0,10081.0,666.0,3155.0,3821.0,196.0,615.0,811.0,73.0,314.0,387.0,20.0,91.0,111.0,21.0,130.0,151.0,131.0,821.0,952.0,8.0,50.0,58.0,88.0,423.0,511.0,14.0,89.0,103.0,84.0,484.0,568.0,31.0,138.0,169.0,1129.0,4166.0,5295.0,1211.0,7332.0,8543.0,132.0,470.0,602.0,564.0,3064.0,3628.0,284.0,2000.0,2284.0,216.0,1701.0,1917.0,15.0,97.0,112.0,74743.0,364664.0,439407.0,531.0,1972.0,2503.0,249.0,921.0,1170.0,327.0,1211.0,1538.0,57.0,235.0,292.0,22049.0,117315.0,139364.0,71527.0,316574.0,388101.0,174389.0,825726.0,1000115.0,
Alameda,50.0,276.0,326.0,1360.0,7477.0,8837.0,95.0,522.0,617.0,53.0,293.0,346.0,423.0,2327.0,2750.0,9.0,51.0,60.0,215.0,1180.0,1395.0,23.0,126.0,149.0,18.0,100.0,118.0,266.0,1459.0,1725.0,258.0,1419.0,1677.0,0.0,0.0,0.0,3491.0,19186.0,22677.0,122.0,667.0,789.0,19.0,105.0,124.0,6.0,31.0,37.0,27.0,146.0,173.0,70.0,385.0,455.0,0.0,0.0,0.0,2137.0,11748.0,13885.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2614.0,14365.0,16979.0,1.0,8.0,9.0,9775.0,53730.0,63505.0,0.0,2.0,2.0,3.0,12.0,15.0,0.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,16.0,21.0,4.0,11.0,15.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,18.0,114.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2614.0,14365.0,16979.0,0.0,0.0,0.0,2641.0,14513.0,17154.0,
Alpine,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,46.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,109.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,
Amador,4.0,38.0,42.0,1.0,11.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,11.0,13.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,150.0,1396.0,1546.0,2.0,24.0,26.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,25.0,31.0,9.0,85.0,94.0,174.0,1596.0,1770.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,70.0,80.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,21.0,5.0,39.0,44.0,19.0,133.0,152.0,
Butte,38.0,354.0,392.0,98.0,628.0,726.0,1.0,22.0,23.0,0.0,4.0,4.0,1.0,15.0,16.0,1.0,7.0,8.0,3.0,39.0,42.0,1.0,3.0,4.0,36.0,248.0,284.0,0.0,15.0,15.0,50.0,247.0,297.0,5.0,28.0,33.0,98.0,494.0,592.0,6.0,85.0,91.0,0.0,15.0,15.0,0.0,3.0,3.0,0.0,10.0,10.0,6.0,57.0,63.0,0.0,0.0,0.0,1599.0,10289.0,11888.0,29.0,227.0,256.0,2.0,13.0,15.0,12.0,63.0,75.0,3.0,8.0,11.0,48.0,365.0,413.0,143.0,945.0,1088.0,2076.0,13471.0,15547.0,3.0,51.0,54.0,0.0,7.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,16.0,19.0,3.0,35.0,38.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,34.0,37.0,0.0,0.0,0.0,136.0,536.0,672.0,1.0,26.0,27.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,37.0,294.0,331.0,132.0,752.0,884.0,318.0,1722.0,2040.0,
