,,This page is not accessible. Please refer to the sheet called 'Data' for an accessible data table.,,,,,,,,,,,,,,
,,CalFresh,,,,,,,,,,,,,,
,,Participants by Race/Ethnicity,,,,,,,,,,,,,,
,,Federal-Only Households,,,,,,,,,,,,,,
Statewide,42917.0,DFA 358F,,,,,,,,,,,,,,
Alameda,,,,,,,,,,,,,,,,
Alpine,,Statewide,,,,,,42552.0,,,,,,,,
Amador,,,,,,,,,,,,,,,,
Butte,,Number of Federal-Only and Combined Households participating in CalFresh during July by race and assistance status.,,,,,,,,,,,,,,
Calaveras,,Race,,,A.  Number of Household Contacts by Race,,,,,,B.  Number of Hispanic or Latino Household Contacts Reported in A. by Race,,,,,
Colusa,,,,,PAFS Households,,NAFS Households,,TOTAL,,PAFS Households,,NAFS Households,,TOTAL,
Contra Costa,,1.  Household Contacts Who Marked Only One Race,,,,,,,,,,,,,,
Del Norte,,American Indian or Alaska Native,,,1.0,2629.0,2.0,17481.0,3.0,20110.0,4.0,948.0,5.0,4903.0,6.0,5851.0
El Dorado,,Asian Categories,,,7.0,7695.0,8.0,103095.0,9.0,110790.0,10.0,340.0,11.0,2235.0,12.0,2575.0
Fresno,,,Asian Indian,,13.0,640.0,14.0,6054.0,15.0,6694.0,16.0,90.0,17.0,438.0,18.0,528.0
Glenn,,,Cambodian,,19.0,795.0,20.0,5646.0,21.0,6441.0,22.0,14.0,23.0,101.0,24.0,115.0
Humboldt,,,Chinese,,25.0,719.0,26.0,16505.0,27.0,17224.0,28.0,13.0,29.0,85.0,30.0,98.0
Imperial,,,Japanese,,31.0,123.0,32.0,1684.0,33.0,1807.0,34.0,18.0,35.0,150.0,36.0,168.0
Inyo,,,Filipino,,37.0,1710.0,38.0,21854.0,39.0,23564.0,40.0,110.0,41.0,876.0,42.0,986.0
Kern,,,Korean,,43.0,316.0,44.0,4645.0,45.0,4961.0,46.0,8.0,47.0,53.0,48.0,61.0
Kings,,,Laotian,,49.0,546.0,50.0,4966.0,51.0,5512.0,52.0,22.0,53.0,179.0,54.0,201.0
Lake,,,Vietnamese,,55.0,1346.0,56.0,28196.0,57.0,29542.0,58.0,8.0,59.0,74.0,60.0,82.0
Lassen,,,Other Asian (not included above),,61.0,1383.0,62.0,12443.0,63.0,13826.0,64.0,53.0,65.0,242.0,66.0,295.0
Los Angeles,,,Reporting More Than One Asian Group,,67.0,117.0,68.0,1102.0,69.0,1219.0,70.0,4.0,71.0,37.0,72.0,41.0
Madera,,Black or African American,,,73.0,39024.0,74.0,239264.0,75.0,278288.0,76.0,773.0,77.0,3635.0,78.0,4408.0
Marin,,Native Hawaiian or Other Pacific Islander,,,79.0,1657.0,80.0,12531.0,81.0,14188.0,82.0,151.0,83.0,1130.0,84.0,1281.0
Mariposa,,,Native Hawaiian,,85.0,261.0,86.0,2221.0,87.0,2482.0,88.0,48.0,89.0,298.0,90.0,346.0
Mendocino,,,Guamanian,,91.0,119.0,92.0,1115.0,93.0,1234.0,94.0,43.0,95.0,332.0,96.0,375.0
Merced,,,Samoan,,97.0,439.0,98.0,3141.0,99.0,3580.0,100.0,34.0,101.0,304.0,102.0,338.0
Modoc,,,Other Pacific Islander (not included above),,103.0,828.0,104.0,5991.0,105.0,6819.0,106.0,23.0,107.0,179.0,108.0,202.0
Mono,,,Reporting More Than One Native Hawaiian or Pacific Islander Group,,109.0,10.0,110.0,63.0,111.0,73.0,112.0,3.0,113.0,17.0,114.0,20.0
Riverside,,White,,,115.0,127135.0,116.0,841957.0,117.0,969092.0,118.0,71069.0,119.0,324222.0,120.0,395291.0
Sacramento,,2.  Household Contacts Who Marked Two Races,,,,,,,,,,,,,,
San Benito,,American Indian or Alaska Native and White,,,121.0,1627.0,122.0,7228.0,123.0,8855.0,124.0,962.0,125.0,2690.0,126.0,3652.0
San Bernardino,,Asian and White,,,127.0,550.0,128.0,3562.0,129.0,4112.0,130.0,199.0,131.0,1044.0,132.0,1243.0
San Diego,,Black or African American and White,,,133.0,965.0,134.0,4765.0,135.0,5730.0,136.0,268.0,137.0,1250.0,138.0,1518.0
San Francisco,,"American Indian or Alaska Native and
    Black or African American",,,139.0,131.0,140.0,841.0,141.0,972.0,142.0,22.0,143.0,148.0,144.0,170.0
San Joaquin,,3.  Other--Household Contacts Who Chose Racial Combinations Not Included Above,,,,,,,,,,,,,,
San Luis Obispo,,Reporting Race(s) Not Included Above,,,145.0,50497.0,146.0,276038.0,147.0,326535.0,148.0,43932.0,149.0,236768.0,150.0,280700.0
San Mateo,,4.  Nonreporting Household Contacts Where Worker Unable to Make Race Determination,,,,,,,,,,,,,,
Santa Barbara,,Worker Unable to Determine Race,,,151.0,40509.0,152.0,270673.0,153.0,311182.0,154.0,33894.0,155.0,217258.0,156.0,251152.0
Santa Clara,,5.  Totals,,,157.0,272419.0,158.0,1777435.0,159.0,2049854.0,160.0,152558.0,161.0,795283.0,162.0,947841.0
Santa Cruz,,,,,,,,,,,,,,,,
Shasta,,COMMENTS  a/,,,,,,,,,,,,,,
Sierra,,42,,,,,,,,,,,,,,
Siskiyou,,,,,,,,,,,,,,CDSS Use Only:,12248448.0,
Solano,,,,,,,,,,,,,,,,
Sonoma,,,,,,,,,,,,,,,,
Stanislaus,,,,,,,,,,,,,,,,
Sutter,,,,,,,,,,,,,,,,
