county,black_pa,black_na,black_tot,hispanic_pa,hispanic_na,hispanic_tot,asian_pac_islander_pa,asian_pac_islander_na,asian_pac_islander_tot,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,white_pa,white_na,white_tot,filipino_pa,filipino_na,filipino_tot,other_pa,other_na,other_tot,total_pa,total_na,total_tot,chinese_pa,chinese_na,chinese_tot,cambodian_pa,cambodian_na,cambodian_tot,japanese_pa,japanese_na,japanese_tot,korean_pa,korean_na,korean_tot,samoan_pa,samoan_na,samoan_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,asian_pac_islander_other_pa,asian_pac_islander_other_na,asian_pac_islander_other_tot,asian_pac_islander_total_pa,asian_pac_islander_total_na,asian_pac_islander_total_tot,year,month,quarter,fulldate
Santa Cruz,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,2005,JUL,3.0,2005-07-01
California,51773.0,91729.0,143502.0,101160.0,181101.0,282261.0,15795.0,21820.0,37615.0,1629.0,3436.0,5065.0,59720.0,103405.0,163125.0,2021.0,3713.0,5734.0,2128.0,6775.0,8903.0,234226.0,411979.0,646205.0,3168.0,5599.0,8767.0,2953.0,3394.0,6347.0,127.0,259.0,386.0,278.0,794.0,1072.0,530.0,733.0,1263.0,529.0,886.0,1415.0,148.0,240.0,388.0,144.0,216.0,360.0,2010.0,1916.0,3926.0,3097.0,5340.0,8437.0,2811.0,2443.0,5254.0,15795.0,21820.0,37615.0,2005,JUL,3.0,2005-07-01
Alameda,7426.0,5397.0,12823.0,2729.0,1984.0,4713.0,2232.0,1622.0,3854.0,37.0,27.0,64.0,3073.0,2234.0,5307.0,304.0,221.0,525.0,17.0,12.0,29.0,15818.0,11497.0,27315.0,904.0,657.0,1561.0,239.0,174.0,413.0,9.0,6.0,15.0,31.0,23.0,54.0,31.0,23.0,54.0,119.0,86.0,205.0,7.0,5.0,12.0,11.0,8.0,19.0,57.0,41.0,98.0,598.0,435.0,1033.0,226.0,164.0,390.0,2232.0,1622.0,3854.0,2005,JUL,3.0,2005-07-01
Alpine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,JUL,3.0,2005-07-01
Amador,2.0,2.0,4.0,7.0,17.0,24.0,1.0,4.0,5.0,5.0,7.0,12.0,135.0,318.0,453.0,1.0,1.0,2.0,0.0,0.0,0.0,151.0,349.0,500.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2005,JUL,3.0,2005-07-01
Butte,95.0,218.0,313.0,136.0,601.0,737.0,146.0,312.0,458.0,59.0,124.0,183.0,1719.0,3398.0,5117.0,6.0,6.0,12.0,0.0,0.0,0.0,2161.0,4659.0,6820.0,0.0,2.0,2.0,3.0,4.0,7.0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,2.0,2.0,4.0,11.0,15.0,4.0,6.0,10.0,2.0,2.0,4.0,130.0,273.0,403.0,1.0,7.0,8.0,0.0,1.0,1.0,146.0,312.0,458.0,2005,JUL,3.0,2005-07-01
Calaveras,3.0,1.0,4.0,10.0,31.0,41.0,0.0,1.0,1.0,6.0,21.0,27.0,201.0,488.0,689.0,1.0,2.0,3.0,0.0,0.0,0.0,221.0,544.0,765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2005,JUL,3.0,2005-07-01
Colusa,2.0,3.0,5.0,33.0,206.0,239.0,0.0,8.0,8.0,1.0,6.0,7.0,34.0,153.0,187.0,0.0,1.0,1.0,0.0,0.0,0.0,70.0,377.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2005,JUL,3.0,2005-07-01
Contra Costa,2966.0,1841.0,4807.0,1750.0,1003.0,2753.0,320.0,221.0,541.0,27.0,23.0,50.0,1898.0,1735.0,3633.0,94.0,84.0,178.0,0.0,0.0,0.0,7055.0,4907.0,11962.0,8.0,32.0,40.0,89.0,25.0,114.0,2.0,3.0,5.0,2.0,8.0,10.0,12.0,8.0,20.0,16.0,23.0,39.0,5.0,4.0,9.0,4.0,5.0,9.0,77.0,28.0,105.0,38.0,36.0,74.0,67.0,49.0,116.0,320.0,221.0,541.0,2005,JUL,3.0,2005-07-01
Del Norte,2.0,8.0,10.0,34.0,94.0,128.0,26.0,52.0,78.0,58.0,127.0,185.0,382.0,858.0,1240.0,0.0,2.0,2.0,0.0,0.0,0.0,502.0,1141.0,1643.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,21.0,31.0,52.0,0.0,0.0,0.0,4.0,12.0,16.0,26.0,52.0,78.0,2005,JUL,3.0,2005-07-01
El Dorado,5.0,14.0,19.0,56.0,170.0,226.0,7.0,13.0,20.0,6.0,19.0,25.0,490.0,1042.0,1532.0,7.0,15.0,22.0,0.0,0.0,0.0,571.0,1273.0,1844.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,7.0,13.0,20.0,2005,JUL,3.0,2005-07-01
Fresno,2324.0,3031.0,5355.0,7456.0,16091.0,23547.0,2425.0,1374.0,3799.0,74.0,172.0,246.0,2667.0,4631.0,7298.0,24.0,47.0,71.0,0.0,1.0,1.0,14970.0,25347.0,40317.0,11.0,33.0,44.0,383.0,182.0,565.0,2.0,11.0,13.0,3.0,4.0,7.0,7.0,6.0,13.0,24.0,59.0,83.0,2.0,3.0,5.0,3.0,7.0,10.0,387.0,212.0,599.0,55.0,74.0,129.0,1548.0,783.0,2331.0,2425.0,1374.0,3799.0,2005,JUL,3.0,2005-07-01
Glenn,6.0,12.0,18.0,49.0,235.0,284.0,17.0,38.0,55.0,7.0,21.0,28.0,156.0,314.0,470.0,0.0,3.0,3.0,0.0,0.0,0.0,235.0,623.0,858.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,29.0,43.0,0.0,0.0,0.0,1.0,7.0,8.0,17.0,38.0,55.0,2005,JUL,3.0,2005-07-01
Humboldt,30.0,93.0,123.0,69.0,239.0,308.0,34.0,84.0,118.0,162.0,379.0,541.0,876.0,3155.0,4031.0,1.0,11.0,12.0,0.0,0.0,0.0,1172.0,3961.0,5133.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,7.0,8.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,10.0,10.0,0.0,2.0,2.0,22.0,38.0,60.0,8.0,20.0,28.0,34.0,84.0,118.0,2005,JUL,3.0,2005-07-01
Imperial,28.0,88.0,116.0,1154.0,4009.0,5163.0,1.0,2.0,3.0,16.0,51.0,67.0,134.0,414.0,548.0,2.0,7.0,9.0,0.0,0.0,0.0,1335.0,4571.0,5906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,3.0,2005,JUL,3.0,2005-07-01
Inyo,0.0,1.0,1.0,14.0,41.0,55.0,0.0,6.0,6.0,30.0,91.0,121.0,34.0,215.0,249.0,0.0,1.0,1.0,0.0,0.0,0.0,78.0,355.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2005,JUL,3.0,2005-07-01
Kern,1297.0,2289.0,3586.0,2936.0,11788.0,14724.0,75.0,151.0,226.0,33.0,120.0,153.0,2612.0,6016.0,8628.0,31.0,161.0,192.0,0.0,0.0,0.0,6984.0,20525.0,27509.0,2.0,3.0,5.0,33.0,31.0,64.0,1.0,4.0,5.0,0.0,6.0,6.0,4.0,13.0,17.0,12.0,57.0,69.0,7.0,9.0,16.0,6.0,7.0,13.0,5.0,5.0,10.0,5.0,16.0,21.0,0.0,0.0,0.0,75.0,151.0,226.0,2005,JUL,3.0,2005-07-01
Kings,160.0,368.0,528.0,675.0,2567.0,3242.0,18.0,28.0,46.0,5.0,17.0,22.0,358.0,1010.0,1368.0,11.0,42.0,53.0,0.0,0.0,0.0,1227.0,4032.0,5259.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,4.0,2.0,0.0,2.0,0.0,5.0,5.0,11.0,5.0,16.0,2.0,1.0,3.0,0.0,8.0,8.0,18.0,28.0,46.0,2005,JUL,3.0,2005-07-01
Lake,61.0,69.0,130.0,108.0,170.0,278.0,5.0,14.0,19.0,28.0,49.0,77.0,718.0,1144.0,1862.0,2.0,9.0,11.0,0.0,0.0,0.0,922.0,1455.0,2377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,7.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,5.0,14.0,19.0,2005,JUL,3.0,2005-07-01
Lassen,8.0,12.0,20.0,17.0,58.0,75.0,1.0,9.0,10.0,10.0,37.0,47.0,253.0,439.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,555.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,9.0,10.0,2005,JUL,3.0,2005-07-01
Los Angeles,20351.0,58331.0,78682.0,53105.0,92840.0,145945.0,2817.0,8204.0,11021.0,58.0,487.0,545.0,10219.0,24141.0,34360.0,467.0,1199.0,1666.0,1994.0,6561.0,8555.0,89011.0,191763.0,280774.0,446.0,1834.0,2280.0,947.0,1554.0,2501.0,27.0,104.0,131.0,178.0,606.0,784.0,203.0,388.0,591.0,51.0,187.0,238.0,21.0,77.0,98.0,9.0,26.0,35.0,34.0,53.0,87.0,638.0,2829.0,3467.0,263.0,546.0,809.0,2817.0,8204.0,11021.0,2005,JUL,3.0,2005-07-01
Madera,78.0,196.0,274.0,607.0,2976.0,3583.0,10.0,11.0,21.0,15.0,22.0,37.0,414.0,1050.0,1464.0,3.0,9.0,12.0,0.0,0.0,0.0,1127.0,4264.0,5391.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,10.0,11.0,21.0,2005,JUL,3.0,2005-07-01
Marin,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2005,JUL,3.0,2005-07-01
Mariposa,1.0,1.0,2.0,9.0,8.0,17.0,2.0,1.0,3.0,5.0,13.0,18.0,77.0,245.0,322.0,0.0,1.0,1.0,0.0,0.0,0.0,94.0,269.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2005,JUL,3.0,2005-07-01
Mendocino,7.0,43.0,50.0,94.0,488.0,582.0,3.0,24.0,27.0,123.0,233.0,356.0,611.0,2028.0,2639.0,1.0,6.0,7.0,0.0,0.0,0.0,839.0,2822.0,3661.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,8.0,9.0,1.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,24.0,27.0,2005,JUL,3.0,2005-07-01
Merced,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2005,JUL,3.0,2005-07-01
Modoc,1.0,0.0,1.0,6.0,36.0,42.0,1.0,0.0,1.0,5.0,9.0,14.0,99.0,153.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,198.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2005,JUL,3.0,2005-07-01
Mono,0.0,0.0,0.0,1.0,16.0,17.0,0.0,3.0,3.0,5.0,12.0,17.0,16.0,82.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,113.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2005,JUL,3.0,2005-07-01
Monterey,136.0,191.0,327.0,1305.0,3838.0,5143.0,46.0,115.0,161.0,19.0,12.0,31.0,387.0,791.0,1178.0,20.0,50.0,70.0,0.0,0.0,0.0,1913.0,4997.0,6910.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,1.0,5.0,4.0,9.0,13.0,2.0,5.0,7.0,2.0,13.0,15.0,3.0,5.0,8.0,5.0,10.0,15.0,0.0,1.0,1.0,19.0,50.0,69.0,5.0,19.0,24.0,46.0,115.0,161.0,2005,JUL,3.0,2005-07-01
Napa,11.0,30.0,41.0,76.0,336.0,412.0,3.0,14.0,17.0,1.0,10.0,11.0,145.0,447.0,592.0,4.0,6.0,10.0,0.0,0.0,0.0,240.0,843.0,1083.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,4.0,6.0,0.0,0.0,0.0,3.0,14.0,17.0,2005,JUL,3.0,2005-07-01
Nevada,2.0,2.0,4.0,7.0,37.0,44.0,1.0,2.0,3.0,3.0,4.0,7.0,277.0,687.0,964.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,732.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2005,JUL,3.0,2005-07-01
Orange,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2005,JUL,3.0,2005-07-01
Placer,30.0,29.0,59.0,189.0,182.0,371.0,11.0,12.0,23.0,15.0,13.0,28.0,857.0,858.0,1715.0,6.0,4.0,10.0,0.0,0.0,0.0,1108.0,1098.0,2206.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,7.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,2.0,4.0,11.0,12.0,23.0,2005,JUL,3.0,2005-07-01
Plumas,3.0,7.0,10.0,3.0,10.0,13.0,0.0,0.0,0.0,4.0,4.0,8.0,78.0,170.0,248.0,0.0,2.0,2.0,0.0,1.0,1.0,88.0,194.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005,JUL,3.0,2005-07-01
Riverside,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2005,JUL,3.0,2005-07-01
Sacramento,7594.0,4403.0,11997.0,4402.0,2552.0,6954.0,3465.0,2009.0,5474.0,263.0,153.0,416.0,9620.0,5578.0,15198.0,235.0,136.0,371.0,0.0,0.0,0.0,25579.0,14831.0,40410.0,1361.0,789.0,2150.0,276.0,160.0,436.0,20.0,12.0,32.0,28.0,16.0,44.0,59.0,34.0,93.0,130.0,76.0,206.0,33.0,19.0,52.0,20.0,12.0,32.0,409.0,237.0,646.0,819.0,475.0,1294.0,310.0,179.0,489.0,3465.0,2009.0,5474.0,2005,JUL,3.0,2005-07-01
San Benito,2.0,8.0,10.0,239.0,645.0,884.0,0.0,1.0,1.0,0.0,5.0,5.0,98.0,166.0,264.0,1.0,5.0,6.0,0.0,0.0,0.0,340.0,830.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2005,JUL,3.0,2005-07-01
