county,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,tot_asian_pa,tot_asian_na,tot_asian_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,cambodian_pa,cambodian_na,cambodian_tot,chinese_pa,chinese_na,chinese_tot,japanese_pa,japanese_na,japanese_tot,filipino_pa,filipino_na,filipino_tot,korean_pa,korean_na,korean_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,other_asian_pa,other_asian_na,other_asian_tot,more_than_one_asian_pa,more_than_one_asian_na,more_than_one_asian_tot,black_pa,black_na,black_tot,tot_hawaiian_or_other_pa,tot_hawaiian_or_other_na,tot_hawaiian_or_other_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,samoan_pa,samoan_na,samoan_tot,other_pac_island_pa,other_pac_island_na,other_pac_island_tot,more_than_one_hawaiian_pac_island_pa,more_than_one_hawaiian_pac_island_na,more_than_one_hawaiian_pac_island_tot,white_pa,white_na,white_tot,two_races_am_indian_alaska_nat_white_pa,two_races_am_indian_alaska_nat_white_na,two_races_am_indian_alaska_nat_white_tot,two_races_asian_white_pa,two_races_asian_white_na,two_races_asian_white_tot,two_races_black_white_pa,two_races_black_white_na,two_races_black_white_tot,two_races_am_indian_alaska_nat_black_pa,two_races_am_indian_alaska_nat_black_na,two_races_am_indian_alaska_nat_black_tot,reported_races_not_incl_pa,reported_races_not_incl_na,reported_races_not_incl_tot,nonreporting_worker_undecided_pa,nonreporting_worker_undecided_na,nonreporting_worker_undecided_tot,total_pa,total_na,total_tot,hispanic_am_indian_alaska_nat_pa,hispanic_am_indian_alaska_nat_na,hispanic_am_indian_alaska_nat_tot,hispanic_tot_asian_pa,hispanic_tot_asian_na,hispanic_tot_asian_tot,hispanic_asian_indian_pa,hispanic_asian_indian_na,hispanic_asian_indian_tot,hispanic_cambodian_pa,hispanic_cambodian_na,hispanic_cambodian_tot,hispanic_chinese_pa,hispanic_chinese_na,hispanic_chinese_tot,hispanic_japanese_pa,hispanic_japanese_na,hispanic_japanese_tot,hispanic_filipino_pa,hispanic_filipino_na,hispanic_filipino_tot,hispanic_korean_pa,hispanic_korean_na,hispanic_korean_tot,hispanic_laotian_pa,hispanic_laotian_na,hispanic_laotian_tot,hispanic_vietnamese_pa,hispanic_vietnamese_na,hispanic_vietnamese_tot,hispanic_other_asian_pa,hispanic_other_asian_na,hispanic_other_asian_tot,hispanic_more_than_one_asian_pa,hispanic_more_than_one_asian_na,hispanic_more_than_one_asian_tot,hispanic_black_pa,hispanic_black_na,hispanic_black_tot,hispanic_tot_hawaiian_other_pac_island_pa,hispanic_tot_hawaiian_other_pac_island_na,hispanic_tot_hawaiian_other_pac_island_tot,hispanic_hawaiian_pa,hispanic_hawaiian_na,hispanic_hawaiian_tot,hispanic_guamanian_pa,hispanic_guamanian_na,hispanic_guamanian_tot,hispanic_samoan_pa,hispanic_samoan_na,hispanic_samoan_tot,hispanic_other_pac_island_pa,hispanic_other_pac_island_na,hispanic_other_pac_island_tot,hispanic_more_than_one_hawaiian_pac_island_pa,hispanic_more_than_one_hawaiian_pac_island_na,hispanic_more_than_one_hawaiian_pac_island_tot,hispanic_white_pa,hispanic_white_na,hispanic_white_tot,hispanic_two_races_am_indian_alaska_nat_white_pa,hispanic_two_races_am_indian_alaska_nat_white_na,hispanic_two_races_am_indian_alaska_nat_white_tot,hispanic_two_races_asian_white_pa,hispanic_two_races_asian_white_na,hispanic_two_races_asian_white_tot,hispanic_two_races_black_white_pa,hispanic_two_races_black_white_na,hispanic_two_races_black_white_tot,hispanic_two_races_am_indian_alaska_nat_black_pa,hispanic_two_races_am_indian_alaska_nat_black_na,hispanic_two_races_am_indian_alaska_nat_black_tot,hispanic_reported_races_not_incl_pa,hispanic_reported_races_not_incl_na,hispanic_reported_races_not_incl_tot,hispanic_nonreporting_worker_undecided_pa,hispanic_nonreporting_worker_undecided_na,hispanic_nonreporting_worker_undecided_tot,hispanic_tot_pa,hispanic_tot_na,hispanic_tot_tot,year,month,quarter,fulldate
Santa Cruz,1,2.0,3,7,8,9,13,14,15,19,20.0,21,25,26,27,31,32,33,37,38,39,43,44,45,49,50,51,55,56,57,61,62,63,67,68.0,69,73,74,75,79,80.0,81,85,86,87,91,92,93,97,98,99,103,104,105,109,110.0,111,115,116,117,121,122.0,123,127,128,129,133,134.0,135,139,140.0,141,145,146.0,147,151,152.0,153,157,158,159,4,5.0,6,10,11,12,16,17,18,22,23.0,24,28,29,30,34,35,36,40,41,42,46,47,48,52,53,54,58,59,60,64,65,66,70,71.0,72,76,77,78,82,83.0,84,88,89,90,94,95,96,100,101,102,106,107,108,112,113.0,114,118,119,120,124,125.0,126,130,131,132,136,137.0,138,142,143.0,144,148,149.0,150,154,155.0,156,160,161,162,2011,JUL,3.0,2011-07-01
California,3906,16160.0,20066,13199,70069,83268,1089,4402,5491,1664,5215.0,6879,1294,10550,11844,172,979,1151,2515,13281,15796,419,2571,2990,1210,4536,5746,2598,20562,23160,2097,7390,9487,141,583.0,724,51298,216670,267968,3490,13604.0,17094,481,1873,2354,849,2937,3786,932,3925,4857,1203,4761,5964,25,108.0,133,151100,630583,781683,926,3037.0,3963,492,1803,2295,1059,3734.0,4793,100,522.0,622,15810,56090.0,71900,100259,322154.0,422413,341639,1334426,1676065,1740,5584.0,7324,888,2850,3738,403,949,1352,112,352.0,464,16,75,91,21,72,93,116,508,624,9,34,43,89,387,476,20,94,114,77,293,370,25,86.0,111,1032,2963,3995,1197,4665.0,5862,112,360,472,703,2277,2980,286,1526,1812,80,428,508,16,74.0,90,82563,274980,357543,566,1309.0,1875,284,721,1005,347,1020.0,1367,49,168.0,217,8393,33473.0,41866,98505,310259.0,408764,195564,637992,833556,2011,JUL,3.0,2011-07-01
Alameda,57,220.0,277,1339,5127,6466,106,406,512,78,299.0,377,403,1540,1943,8,32,40,230,882,1112,22,86,108,24,92,116,345,1321,1666,123,469,592,0,0.0,0,4788,18321,23109,163,625.0,788,24,93,117,6,21,27,34,131,165,99,380,479,0,0.0,0,2122,8118,10240,0,0.0,0,1,3,4,0,0.0,0,0,0.0,0,3108,11893.0,15001,1,2.0,3,11579,44309,55888,0,0.0,0,1,13,14,0,1,1,1,5.0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,3,3,0,0.0,0,0,3,3,5,15.0,20,5,13,18,0,1,1,0,0,0,0,1,1,0,0.0,0,6,16,22,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,3108,11893.0,15001,0,0.0,0,3120,11940,15060,2011,JUL,3.0,2011-07-01
Alpine,1,46.0,47,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,27,30,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,1.0,1,0,0.0,0,4,74,78,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,1.0,1,0,0.0,0,0,1,1,2011,JUL,3.0,2011-07-01
Amador,7,30.0,37,0,7,7,0,1,1,0,0.0,0,0,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,0.0,0,3,3,6,0,3.0,3,0,1,1,0,0,0,0,0,0,0,2,2,0,0.0,0,227,1143,1370,0,8.0,8,0,0,0,0,0.0,0,0,0.0,0,2,6.0,8,9,37.0,46,248,1237,1485,1,3.0,4,0,1,1,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2.0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0.0,0,13,64,77,0,2.0,2,0,0,0,0,0.0,0,0,0.0,0,1,1.0,2,7,25.0,32,22,98,120,2011,JUL,3.0,2011-07-01
Butte,51,305.0,356,164,563,727,1,38,39,2,3.0,5,1,7,8,1,4,5,2,31,33,0,8,8,85,269,354,2,12,14,65,169,234,5,22.0,27,88,384,472,6,37.0,43,1,8,9,1,4,5,1,8,9,3,17,20,0,0.0,0,1626,8469,10095,12,104.0,116,0,4,4,5,21.0,26,0,3.0,3,12,51.0,63,151,817.0,968,2115,10758,12873,6,27.0,33,1,8,9,0,4,4,1,1.0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,2,8,10,2,15.0,17,0,1,1,0,1,1,0,1,1,2,12,14,0,0.0,0,138,346,484,1,8.0,9,0,3,3,0,0.0,0,0,0.0,0,6,14.0,20,146,753.0,899,302,1182,1484,2011,JUL,3.0,2011-07-01
Calaveras,9,34.0,43,7,14,21,2,7,9,1,0.0,1,1,0,1,0,2,2,0,4,4,0,1,1,0,0,0,1,0,1,2,0,2,0,0.0,0,4,20,24,1,4.0,5,0,2,2,0,0,0,0,0,0,1,2,3,0,0.0,0,298,1771,2069,6,8.0,14,0,1,1,2,1.0,3,0,0.0,0,2,12.0,14,23,92.0,115,352,1957,2309,1,1.0,2,2,1,3,1,1,2,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,2.0,3,0,0,0,0,0,0,0,0,0,1,2,3,0,0.0,0,9,46,55,1,0.0,1,0,0,0,0,0.0,0,0,0.0,0,0,4.0,4,22,85.0,107,36,139,175,2011,JUL,3.0,2011-07-01
Colusa,2,15.0,17,4,15,19,1,13,14,0,0.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,3,0,0.0,0,2,15,17,1,2.0,3,0,1,1,1,1,2,0,0,0,0,0,0,0,0.0,0,102,501,603,0,4.0,4,0,2,2,2,0.0,2,0,0.0,0,0,6.0,6,0,0.0,0,113,560,673,1,1.0,2,1,10,11,1,10,11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,57,292,349,0,3.0,3,0,2,2,0,0.0,0,0,0.0,0,0,2.0,2,0,0.0,0,59,310,369,2011,JUL,3.0,2011-07-01
Contra Costa,28,187.0,215,235,1167,1402,25,127,152,10,28.0,38,6,117,123,1,21,22,87,447,534,6,26,32,29,101,130,29,150,179,38,139,177,4,11.0,15,2038,7555,9593,69,220.0,289,12,45,57,3,11,14,12,30,42,40,127,167,2,7.0,9,1326,7401,8727,11,58.0,69,7,36,43,16,56.0,72,1,27.0,28,89,514.0,603,2538,6693.0,9231,6358,23914,30272,1,15.0,16,2,19,21,0,0,0,0,0.0,0,0,2,2,0,0,0,0,12,12,0,0,0,0,4,4,0,0,0,1,1,2,1,0.0,1,9,29,38,1,3.0,4,0,3,3,0,0,0,0,0,0,0,0,0,1,0.0,1,13,81,94,5,9.0,14,2,3,5,2,15.0,17,0,0.0,0,4,42.0,46,2483,6470.0,8953,2522,6686,9208,2011,JUL,3.0,2011-07-01
Del Norte,40,216.0,256,59,99,158,4,27,31,0,0.0,0,2,3,5,0,1,1,0,4,4,1,4,5,30,34,64,0,1,1,20,23,43,2,2.0,4,3,13,16,0,4.0,4,0,3,3,0,0,0,0,1,1,0,0,0,0,0.0,0,421,1664,2085,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,523,1996,2519,1,1.0,2,1,2,3,1,2,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,26,65,91,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,1.0,1,23,158.0,181,51,227,278,2011,JUL,3.0,2011-07-01
