county,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,tot_asian_pa,tot_asian_na,tot_asian_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,cambodian_pa,cambodian_na,cambodian_tot,chinese_pa,chinese_na,chinese_tot,japanese_pa,japanese_na,japanese_tot,filipino_pa,filipino_na,filipino_tot,korean_pa,korean_na,korean_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,other_asian_pa,other_asian_na,other_asian_tot,more_than_one_asian_pa,more_than_one_asian_na,more_than_one_asian_tot,black_pa,black_na,black_tot,tot_hawaiian_or_other_pa,tot_hawaiian_or_other_na,tot_hawaiian_or_other_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,samoan_pa,samoan_na,samoan_tot,other_pac_island_pa,other_pac_island_na,other_pac_island_tot,more_than_one_hawaiian_pac_island_pa,more_than_one_hawaiian_pac_island_na,more_than_one_hawaiian_pac_island_tot,white_pa,white_na,white_tot,two_races_am_indian_alaska_nat_white_pa,two_races_am_indian_alaska_nat_white_na,two_races_am_indian_alaska_nat_white_tot,two_races_asian_white_pa,two_races_asian_white_na,two_races_asian_white_tot,two_races_black_white_pa,two_races_black_white_na,two_races_black_white_tot,two_races_am_indian_alaska_nat_black_pa,two_races_am_indian_alaska_nat_black_na,two_races_am_indian_alaska_nat_black_tot,reported_races_not_incl_pa,reported_races_not_incl_na,reported_races_not_incl_tot,nonreporting_worker_undecided_pa,nonreporting_worker_undecided_na,nonreporting_worker_undecided_tot,total_pa,total_na,total_tot,hispanic_am_indian_alaska_nat_pa,hispanic_am_indian_alaska_nat_na,hispanic_am_indian_alaska_nat_tot,hispanic_tot_asian_pa,hispanic_tot_asian_na,hispanic_tot_asian_tot,hispanic_asian_indian_pa,hispanic_asian_indian_na,hispanic_asian_indian_tot,hispanic_cambodian_pa,hispanic_cambodian_na,hispanic_cambodian_tot,hispanic_chinese_pa,hispanic_chinese_na,hispanic_chinese_tot,hispanic_japanese_pa,hispanic_japanese_na,hispanic_japanese_tot,hispanic_filipino_pa,hispanic_filipino_na,hispanic_filipino_tot,hispanic_korean_pa,hispanic_korean_na,hispanic_korean_tot,hispanic_laotian_pa,hispanic_laotian_na,hispanic_laotian_tot,hispanic_vietnamese_pa,hispanic_vietnamese_na,hispanic_vietnamese_tot,hispanic_other_asian_pa,hispanic_other_asian_na,hispanic_other_asian_tot,hispanic_more_than_one_asian_pa,hispanic_more_than_one_asian_na,hispanic_more_than_one_asian_tot,hispanic_black_pa,hispanic_black_na,hispanic_black_tot,hispanic_tot_hawaiian_other_pac_island_pa,hispanic_tot_hawaiian_other_pac_island_na,hispanic_tot_hawaiian_other_pac_island_tot,hispanic_hawaiian_pa,hispanic_hawaiian_na,hispanic_hawaiian_tot,hispanic_guamanian_pa,hispanic_guamanian_na,hispanic_guamanian_tot,hispanic_samoan_pa,hispanic_samoan_na,hispanic_samoan_tot,hispanic_other_pac_island_pa,hispanic_other_pac_island_na,hispanic_other_pac_island_tot,hispanic_more_than_one_hawaiian_pac_island_pa,hispanic_more_than_one_hawaiian_pac_island_na,hispanic_more_than_one_hawaiian_pac_island_tot,hispanic_white_pa,hispanic_white_na,hispanic_white_tot,hispanic_two_races_am_indian_alaska_nat_white_pa,hispanic_two_races_am_indian_alaska_nat_white_na,hispanic_two_races_am_indian_alaska_nat_white_tot,hispanic_two_races_asian_white_pa,hispanic_two_races_asian_white_na,hispanic_two_races_asian_white_tot,hispanic_two_races_black_white_pa,hispanic_two_races_black_white_na,hispanic_two_races_black_white_tot,hispanic_two_races_am_indian_alaska_nat_black_pa,hispanic_two_races_am_indian_alaska_nat_black_na,hispanic_two_races_am_indian_alaska_nat_black_tot,hispanic_reported_races_not_incl_pa,hispanic_reported_races_not_incl_na,hispanic_reported_races_not_incl_tot,hispanic_nonreporting_worker_undecided_pa,hispanic_nonreporting_worker_undecided_na,hispanic_nonreporting_worker_undecided_tot,hispanic_tot_pa,hispanic_tot_na,hispanic_tot_tot,year,month,quarter,fulldate
Santa Cruz,1,2.0,3,7,8.0,9,13,14.0,15,19,20.0,21,25,26.0,27,31,32.0,33,37,38.0,39,43,44.0,45,49,50.0,51,55,56.0,57,61,62.0,63,67,68.0,69,73,74.0,75,79,80.0,81,85,86.0,87,91,92.0,93,97,98.0,99,103,104.0,105,109,110.0,111,115,116.0,117,121,122.0,123,127,128.0,129,133,134.0,135,139,140.0,141,145,146.0,147,151,152.0,153,157,158,159,4,5.0,6,10,11.0,12,16,17.0,18,22,23.0,24,28,29.0,30,34,35.0,36,40,41.0,42,46,47.0,48,52,53.0,54,58,59.0,60,64,65.0,66,70,71.0,72,76,77.0,78,82,83.0,84,88,89.0,90,94,95.0,96,100,101.0,102,106,107.0,108,112,113.0,114,118,119.0,120,124,125.0,126,130,131.0,132,136,137.0,138,142,143.0,144,148,149.0,150,154,155.0,156,160,161,162,2014,JUL,3.0,2014-07-01
California,4036,20922.0,24958,11397,100613.0,112010,909,5598.0,6507,1208,6204.0,7412,1272,15791.0,17063,166,1536.0,1702,2480,21279.0,23759,347,4163.0,4510,921,5420.0,6341,2046,27731.0,29777,1900,11821.0,13721,148,1070.0,1218,45664,253662.0,299326,3391,21998.0,25389,456,2662.0,3118,673,3919.0,4592,793,5162.0,5955,1449,10099.0,11548,20,156.0,176,136426,841537.0,977963,993,5498.0,6491,490,2658.0,3148,1217,5620.0,6837,158,909.0,1067,29941,163462.0,193403,73788,335750.0,409538,307501,1752629,2060130,1900,8181.0,10081,666,3155.0,3821,196,615.0,811,73,314.0,387,20,91.0,111,21,130.0,151,131,821.0,952,8,50.0,58,88,423.0,511,14,89.0,103,84,484.0,568,31,138.0,169,1129,4166.0,5295,1211,7332.0,8543,132,470.0,602,564,3064.0,3628,284,2000.0,2284,216,1701.0,1917,15,97.0,112,74743,364664.0,439407,531,1972.0,2503,249,921.0,1170,327,1211.0,1538,57,235.0,292,22049,117315.0,139364,71527,316574.0,388101,174389,825726,1000115,2014,JUL,3.0,2014-07-01
Alameda,50,276.0,326,1360,7477.0,8837,95,522.0,617,53,293.0,346,423,2327.0,2750,9,51.0,60,215,1180.0,1395,23,126.0,149,18,100.0,118,266,1459.0,1725,258,1419.0,1677,0,0.0,0,3491,19186.0,22677,122,667.0,789,19,105.0,124,6,31.0,37,27,146.0,173,70,385.0,455,0,0.0,0,2137,11748.0,13885,0,0.0,0,0,3.0,3,0,0.0,0,0,0.0,0,2614,14365.0,16979,1,8.0,9,9775,53730,63505,0,2.0,2,3,12.0,15,0,2.0,2,0,3.0,3,1,1.0,2,0,0.0,0,0,1.0,1,0,0.0,0,1,2.0,3,0,0.0,0,1,3.0,4,0,0.0,0,1,4.0,5,5,16.0,21,4,11.0,15,0,4.0,4,0,0.0,0,1,1.0,2,0,0.0,0,18,114.0,132,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2614,14365.0,16979,0,0.0,0,2641,14513,17154,2014,JUL,3.0,2014-07-01
Alpine,0,61.0,61,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,46.0,51,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2.0,2,5,109,114,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1.0,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2.0,2,1,3,4,2014,JUL,3.0,2014-07-01
Amador,4,38.0,42,1,11.0,12,0,1.0,1,0,0.0,0,0,3.0,3,0,1.0,1,1,2.0,3,0,3.0,3,0,0.0,0,0,0.0,0,0,1.0,1,0,0.0,0,2,11.0,13,0,4.0,4,0,2.0,2,0,0.0,0,0,0.0,0,0,2.0,2,0,0.0,0,150,1396.0,1546,2,24.0,26,0,0.0,0,0,2.0,2,0,0.0,0,6,25.0,31,9,85.0,94,174,1596,1770,0,3.0,3,1,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,0,0.0,0,10,70.0,80,0,2.0,2,0,0.0,0,0,0.0,0,0,0.0,0,3,18.0,21,5,39.0,44,19,133,152,2014,JUL,3.0,2014-07-01
Butte,38,354.0,392,98,628.0,726,1,22.0,23,0,4.0,4,1,15.0,16,1,7.0,8,3,39.0,42,1,3.0,4,36,248.0,284,0,15.0,15,50,247.0,297,5,28.0,33,98,494.0,592,6,85.0,91,0,15.0,15,0,3.0,3,0,10.0,10,6,57.0,63,0,0.0,0,1599,10289.0,11888,29,227.0,256,2,13.0,15,12,63.0,75,3,8.0,11,48,365.0,413,143,945.0,1088,2076,13471,15547,3,51.0,54,0,7.0,7,0,3.0,3,0,0.0,0,0,0.0,0,0,0.0,0,0,2.0,2,0,1.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,3,16.0,19,3,35.0,38,0,1.0,1,0,0.0,0,0,0.0,0,3,34.0,37,0,0.0,0,136,536.0,672,1,26.0,27,1,2.0,3,1,2.0,3,1,1.0,2,37,294.0,331,132,752.0,884,318,1722,2040,2014,JUL,3.0,2014-07-01
Calaveras,1,60.0,61,5,24.0,29,0,4.0,4,0,1.0,1,0,1.0,1,1,2.0,3,1,11.0,12,1,0.0,1,0,1.0,1,0,2.0,2,2,1.0,3,0,1.0,1,4,11.0,15,1,8.0,9,0,4.0,4,0,2.0,2,0,1.0,1,1,1.0,2,0,0.0,0,250,2213.0,2463,2,18.0,20,0,1.0,1,1,4.0,5,0,0.0,0,2,40.0,42,16,104.0,120,282,2483,2765,0,5.0,5,0,4.0,4,0,1.0,1,0,1.0,1,0,0.0,0,0,0.0,0,0,1.0,1,0,0.0,0,0,1.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1.0,2,0,0.0,0,0,0.0,0,0,0.0,0,1,1.0,2,0,0.0,0,14,84.0,98,0,4.0,4,0,0.0,0,0,1.0,1,0,0.0,0,1,21.0,22,15,90.0,105,31,210,241,2014,JUL,3.0,2014-07-01
Colusa,1,18.0,19,1,8.0,9,1,5.0,6,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,0,1.0,1,0,1.0,1,0,0.0,0,3,8.0,11,0,2.0,2,0,1.0,1,0,1.0,1,0,0.0,0,0,0.0,0,0,0.0,0,83,407.0,490,0,8.0,8,0,0.0,0,0,0.0,0,0,0.0,0,9,55.0,64,15,106.0,121,112,612,724,0,2.0,2,0,4.0,4,0,4.0,4,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,40,157.0,197,0,2.0,2,0,0.0,0,0,0.0,0,0,0.0,0,8,50.0,58,13,84.0,97,61,299,360,2014,JUL,3.0,2014-07-01
Contra Costa,28,205.0,233,221,1692.0,1913,27,159.0,186,5,19.0,24,12,191.0,203,4,28.0,32,81,677.0,758,6,43.0,49,20,116.0,136,20,203.0,223,44,243.0,287,2,13.0,15,1782,8841.0,10623,60,273.0,333,16,46.0,62,3,16.0,19,12,67.0,79,28,143.0,171,1,1.0,2,1111,8596.0,9707,15,82.0,97,10,74.0,84,20,82.0,102,10,37.0,47,121,765.0,886,2120,9011.0,11131,5498,29658,35156,2,18.0,20,4,19.0,23,0,0.0,0,0,0.0,0,1,0.0,1,0,1.0,1,1,13.0,14,0,0.0,0,0,3.0,3,0,0.0,0,0,2.0,2,2,0.0,2,17,32.0,49,2,0.0,2,1,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,1,19,107.0,126,7,17.0,24,4,14.0,18,2,8.0,10,0,3.0,3,5,44.0,49,2014,8128.0,10142,2076,8390,10466,2014,JUL,3.0,2014-07-01
Del Norte,49,278.0,327,29,97.0,126,1,9.0,10,0,0.0,0,1,4.0,5,1,4.0,5,0,3.0,3,0,1.0,1,9,24.0,33,0,0.0,0,14,50.0,64,3,2.0,5,3,12.0,15,1,10.0,11,1,1.0,2,0,1.0,1,0,2.0,2,0,6.0,6,0,0.0,0,315,1522.0,1837,6,52.0,58,0,1.0,1,1,2.0,3,0,0.0,0,7,48.0,55,22,87.0,109,433,2109,2542,1,11.0,12,1,0.0,1,1,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,0,3.0,3,0,0.0,0,0,0.0,0,0,0.0,0,0,3.0,3,0,0.0,0,16,92.0,108,1,2.0,3,0,0.0,0,0,0.0,0,0,0.0,0,5,37.0,42,18,57.0,75,42,203,245,2014,JUL,3.0,2014-07-01
