county,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,tot_asian_pa,tot_asian_na,tot_asian_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,cambodian_pa,cambodian_na,cambodian_tot,chinese_pa,chinese_na,chinese_tot,japanese_pa,japanese_na,japanese_tot,filipino_pa,filipino_na,filipino_tot,korean_pa,korean_na,korean_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,other_asian_pa,other_asian_na,other_asian_tot,more_than_one_asian_pa,more_than_one_asian_na,more_than_one_asian_tot,black_pa,black_na,black_tot,tot_hawaiian_or_other_pa,tot_hawaiian_or_other_na,tot_hawaiian_or_other_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,samoan_pa,samoan_na,samoan_tot,other_pac_island_pa,other_pac_island_na,other_pac_island_tot,more_than_one_hawaiian_pac_island_pa,more_than_one_hawaiian_pac_island_na,more_than_one_hawaiian_pac_island_tot,white_pa,white_na,white_tot,two_races_am_indian_alaska_nat_white_pa,two_races_am_indian_alaska_nat_white_na,two_races_am_indian_alaska_nat_white_tot,two_races_asian_white_pa,two_races_asian_white_na,two_races_asian_white_tot,two_races_black_white_pa,two_races_black_white_na,two_races_black_white_tot,two_races_am_indian_alaska_nat_black_pa,two_races_am_indian_alaska_nat_black_na,two_races_am_indian_alaska_nat_black_tot,reported_races_not_incl_pa,reported_races_not_incl_na,reported_races_not_incl_tot,nonreporting_worker_undecided_pa,nonreporting_worker_undecided_na,nonreporting_worker_undecided_tot,total_pa,total_na,total_tot,hispanic_am_indian_alaska_nat_pa,hispanic_am_indian_alaska_nat_na,hispanic_am_indian_alaska_nat_tot,hispanic_tot_asian_pa,hispanic_tot_asian_na,hispanic_tot_asian_tot,hispanic_asian_indian_pa,hispanic_asian_indian_na,hispanic_asian_indian_tot,hispanic_cambodian_pa,hispanic_cambodian_na,hispanic_cambodian_tot,hispanic_chinese_pa,hispanic_chinese_na,hispanic_chinese_tot,hispanic_japanese_pa,hispanic_japanese_na,hispanic_japanese_tot,hispanic_filipino_pa,hispanic_filipino_na,hispanic_filipino_tot,hispanic_korean_pa,hispanic_korean_na,hispanic_korean_tot,hispanic_laotian_pa,hispanic_laotian_na,hispanic_laotian_tot,hispanic_vietnamese_pa,hispanic_vietnamese_na,hispanic_vietnamese_tot,hispanic_other_asian_pa,hispanic_other_asian_na,hispanic_other_asian_tot,hispanic_more_than_one_asian_pa,hispanic_more_than_one_asian_na,hispanic_more_than_one_asian_tot,hispanic_black_pa,hispanic_black_na,hispanic_black_tot,hispanic_tot_hawaiian_other_pac_island_pa,hispanic_tot_hawaiian_other_pac_island_na,hispanic_tot_hawaiian_other_pac_island_tot,hispanic_hawaiian_pa,hispanic_hawaiian_na,hispanic_hawaiian_tot,hispanic_guamanian_pa,hispanic_guamanian_na,hispanic_guamanian_tot,hispanic_samoan_pa,hispanic_samoan_na,hispanic_samoan_tot,hispanic_other_pac_island_pa,hispanic_other_pac_island_na,hispanic_other_pac_island_tot,hispanic_more_than_one_hawaiian_pac_island_pa,hispanic_more_than_one_hawaiian_pac_island_na,hispanic_more_than_one_hawaiian_pac_island_tot,hispanic_white_pa,hispanic_white_na,hispanic_white_tot,hispanic_two_races_am_indian_alaska_nat_white_pa,hispanic_two_races_am_indian_alaska_nat_white_na,hispanic_two_races_am_indian_alaska_nat_white_tot,hispanic_two_races_asian_white_pa,hispanic_two_races_asian_white_na,hispanic_two_races_asian_white_tot,hispanic_two_races_black_white_pa,hispanic_two_races_black_white_na,hispanic_two_races_black_white_tot,hispanic_two_races_am_indian_alaska_nat_black_pa,hispanic_two_races_am_indian_alaska_nat_black_na,hispanic_two_races_am_indian_alaska_nat_black_tot,hispanic_reported_races_not_incl_pa,hispanic_reported_races_not_incl_na,hispanic_reported_races_not_incl_tot,hispanic_nonreporting_worker_undecided_pa,hispanic_nonreporting_worker_undecided_na,hispanic_nonreporting_worker_undecided_tot,hispanic_tot_pa,hispanic_tot_na,hispanic_tot_tot,year,month,quarter,fulldate
California,3575.0,21360.0,24935.0,9755.0,105119.0,114874.0,738.0,5861.0,6599.0,999.0,6086.0,7085.0,1094.0,16500.0,17594.0,126.0,1633.0,1759.0,2086.0,21666.0,23752.0,303.0,4487.0,4790.0,779.0,5259.0,6038.0,1728.0,28799.0,30527.0,1783.0,13840.0,15623.0,119.0,988.0,1107.0,40107.0,250720.0,290827.0,2791.0,18155.0,20946.0,386.0,2438.0,2824.0,672.0,3914.0,4586.0,753.0,5007.0,5760.0,960.0,6660.0,7620.0,20.0,136.0,156.0,124376.0,858015.0,982391.0,1088.0,6286.0,7374.0,587.0,3639.0,4226.0,1171.0,6071.0,7242.0,157.0,936.0,1093.0,36404.0,225098.0,261502.0,58928.0,332763.0,391691.0,278939.0,1828162.0,2107101.0,1744.0,8797.0,10541.0,579.0,3244.0,3823.0,142.0,533.0,675.0,62.0,285.0,347.0,13.0,98.0,111.0,18.0,159.0,177.0,126.0,867.0,993.0,7.0,56.0,63.0,75.0,403.0,478.0,8.0,89.0,97.0,98.0,623.0,721.0,30.0,131.0,161.0,1020.0,4369.0,5389.0,1011.0,5787.0,6798.0,125.0,436.0,561.0,572.0,3110.0,3682.0,267.0,1944.0,2211.0,30.0,205.0,235.0,17.0,92.0,109.0,66098.0,365376.0,431474.0,585.0,2143.0,2728.0,248.0,1087.0,1335.0,316.0,1247.0,1563.0,53.0,248.0,301.0,29175.0,172257.0,201432.0,56413.0,304136.0,360549.0,157242.0,868691.0,1025933.0,2015,JUL,3.0,2015-07-01
Alameda,38.0,256.0,294.0,1140.0,7629.0,8769.0,79.0,528.0,607.0,41.0,271.0,312.0,368.0,2462.0,2830.0,6.0,40.0,46.0,183.0,1225.0,1408.0,20.0,136.0,156.0,15.0,101.0,116.0,211.0,1413.0,1624.0,217.0,1453.0,1670.0,0.0,0.0,0.0,2834.0,18944.0,21778.0,93.0,620.0,713.0,13.0,84.0,97.0,4.0,28.0,32.0,22.0,146.0,168.0,54.0,362.0,416.0,0.0,0.0,0.0,1799.0,12025.0,13824.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2169.0,14486.0,16655.0,0.0,2.0,2.0,8074.0,53967.0,62041.0,0.0,1.0,1.0,1.0,12.0,13.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,5.0,6.0,5.0,10.0,15.0,5.0,8.0,13.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,136.0,162.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2169.0,14486.0,16655.0,0.0,0.0,0.0,2203.0,14655.0,16858.0,2015,JUL,3.0,2015-07-01
Alpine,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,39.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,98.0,101.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,4.0,2015,JUL,3.0,2015-07-01
Amador,3.0,46.0,49.0,0.0,13.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,16.0,18.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,1442.0,1596.0,8.0,20.0,28.0,1.0,5.0,6.0,1.0,2.0,3.0,0.0,0.0,0.0,10.0,49.0,59.0,4.0,45.0,49.0,183.0,1640.0,1823.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,62.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,38.0,46.0,4.0,29.0,33.0,19.0,131.0,150.0,2015,JUL,3.0,2015-07-01
Butte,37.0,341.0,378.0,80.0,671.0,751.0,3.0,27.0,30.0,0.0,6.0,6.0,1.0,13.0,14.0,1.0,7.0,8.0,3.0,44.0,47.0,1.0,6.0,7.0,27.0,222.0,249.0,1.0,16.0,17.0,40.0,281.0,321.0,3.0,49.0,52.0,84.0,553.0,637.0,1.0,38.0,39.0,0.0,17.0,17.0,1.0,2.0,3.0,0.0,12.0,12.0,0.0,6.0,6.0,0.0,1.0,1.0,1455.0,11025.0,12480.0,38.0,280.0,318.0,5.0,45.0,50.0,14.0,72.0,86.0,1.0,10.0,11.0,96.0,885.0,981.0,97.0,876.0,973.0,1908.0,14796.0,16704.0,6.0,51.0,57.0,1.0,10.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,15.0,16.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,98.0,586.0,684.0,1.0,22.0,23.0,1.0,9.0,10.0,0.0,3.0,3.0,0.0,2.0,2.0,79.0,751.0,830.0,80.0,558.0,638.0,267.0,2011.0,2278.0,2015,JUL,3.0,2015-07-01
Calaveras,4.0,57.0,61.0,3.0,24.0,27.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,9.0,10.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,4.0,0.0,1.0,1.0,5.0,14.0,19.0,0.0,5.0,5.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,235.0,2349.0,2584.0,1.0,26.0,27.0,1.0,10.0,11.0,1.0,5.0,6.0,0.0,0.0,0.0,9.0,64.0,73.0,12.0,94.0,106.0,271.0,2648.0,2919.0,0.0,4.0,4.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,90.0,103.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,48.0,56.0,11.0,74.0,85.0,33.0,222.0,255.0,2015,JUL,3.0,2015-07-01
Colusa,2.0,11.0,13.0,0.0,7.0,7.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,12.0,15.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,62.0,347.0,409.0,0.0,10.0,10.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,21.0,119.0,140.0,5.0,55.0,60.0,93.0,567.0,660.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,113.0,141.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,118.0,139.0,3.0,39.0,42.0,52.0,279.0,331.0,2015,JUL,3.0,2015-07-01
Contra Costa,23.0,204.0,227.0,180.0,1890.0,2070.0,27.0,192.0,219.0,3.0,29.0,32.0,9.0,209.0,218.0,4.0,31.0,35.0,60.0,788.0,848.0,6.0,42.0,48.0,17.0,123.0,140.0,21.0,206.0,227.0,30.0,256.0,286.0,3.0,14.0,17.0,1641.0,8910.0,10551.0,46.0,264.0,310.0,10.0,52.0,62.0,2.0,15.0,17.0,10.0,63.0,73.0,21.0,129.0,150.0,3.0,5.0,8.0,1022.0,8690.0,9712.0,10.0,75.0,85.0,9.0,71.0,80.0,13.0,79.0,92.0,13.0,29.0,42.0,121.0,926.0,1047.0,1943.0,9773.0,11716.0,5021.0,30911.0,35932.0,2.0,19.0,21.0,7.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.0,17.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,10.0,43.0,53.0,4.0,4.0,8.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,30.0,127.0,157.0,3.0,21.0,24.0,3.0,13.0,16.0,2.0,4.0,6.0,2.0,2.0,4.0,6.0,74.0,80.0,1815.0,8332.0,10147.0,1884.0,8655.0,10539.0,2015,JUL,3.0,2015-07-01
Del Norte,36.0,241.0,277.0,26.0,92.0,118.0,1.0,5.0,6.0,1.0,0.0,1.0,0.0,4.0,4.0,1.0,4.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,18.0,22.0,0.0,0.0,0.0,16.0,56.0,72.0,3.0,3.0,6.0,3.0,16.0,19.0,2.0,6.0,8.0,2.0,3.0,5.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,1539.0,1841.0,13.0,61.0,74.0,1.0,3.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,11.0,67.0,78.0,22.0,70.0,92.0,417.0,2097.0,2514.0,1.0,11.0,12.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,77.0,97.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,61.0,71.0,13.0,37.0,50.0,47.0,191.0,238.0,2015,JUL,3.0,2015-07-01
El Dorado,7.0,86.0,93.0,4.0,93.0,97.0,2.0,13.0,15.0,0.0,2.0,2.0,0.0,8.0,8.0,0.0,7.0,7.0,2.0,42.0,44.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,7.0,7.0,0.0,9.0,9.0,0.0,2.0,2.0,11.0,72.0,83.0,1.0,16.0,17.0,0.0,13.0,13.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,442.0,5319.0,5761.0,5.0,50.0,55.0,3.0,16.0,19.0,6.0,12.0,18.0,0.0,0.0,0.0,38.0,295.0,333.0,75.0,843.0,918.0,592.0,6802.0,7394.0,1.0,13.0,14.0,2.0,6.0,8.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,208.0,226.0,0.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,34.0,233.0,267.0,50.0,303.0,353.0,107.0,771.0,878.0,2015,JUL,3.0,2015-07-01
