,Number of Household Contacts By Race,,,,,,,,,,,,,,,Number of Household Contacts By Race (Continued),,,,,,,,,,,,,,,Number of Household Contacts By Race (Continued),,,,,,,,,,,,,,,Number of Household Contacts By Race (Continued),,,,,,,,,,,,,,,Number of Household Contacts By Race (Continued),,,,,,,,,,,,Number of Household Contacts By Race (Continued),,,,,,,,,Number of Hispanic or Latino Household Contacts Reported in Section A. By Race,,,,,,,,,,,,,,,Number of Hispanic or Latino Household Contacts Reported in Section A. By Race (Continued),,,,,,,,,,,,,,,Number of Hispanic or Latino Household Contacts Reported in Section A. By Race (Continued),,,,,,,,,,,,,,,Number of Hispanic or Latino Household Contacts Reported in Section A. By Race (Continued),,,,,,,,,,,,,,,Number of Hispanic or Latino Household Contacts Reported in Section A. By Race (Continued),,,,,,,,,,,,"Number of Hispanic or Latino Household Contacts 
Reported in Section A. By Race (Continued)",,,,,,,,
,Household Contacts Who Marked Only One Race,,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contracts Who Marked Two Races,,,,,,,,,,,,Other--Household Contacts Who Chose Racial Combinations Not Included Above,,,Nonreporting Household Contacts Where Worker Unable to Make Race Determination,,,TOTALS,,,Household Contacts Who Marked Only One Race,,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contracts Who Marked Two Races,,,,,,,,,,,,Other--Household Contacts Who Chose Racial Combinations Not Included Above,,,Nonreporting Household Contacts Where Worker Unable to Make Race Determination,,,TOTALS,,
,,,,Asian Categories,,,,,,,,,,,,Asian Categories (Continued),,,,,,,,,,,,,,,Asian Categories (Continued),,,,,,,,,Native Hawaiian or Other Pacific Islander,,,,,,Native Hawaiian or Other Pacific Islander (Continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Categories,,,,,,,,,,,,Asian Categories (Continued),,,,,,,,,,,,,,,"Asian Categories 
(Continued)",,,,,,,,,"Native Hawaiian or 
Other Pacific Islander",,,,,,Native Hawaiian or Other Pacific Islander (Continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"American Indian or
Alaskan Native",,,Total Asian,,,Asian Indian,,,Cambodian,,,Chinese,,,Japanese,,,Filipino,,,Korean,,,Laotian,,,Vietnamese,,,Other Asian,,,More Than One Asian Group,,,"Black or 
African American",,,"Total Hawaiian or 
Other Pacific Islander",,,Native Hawaiian,,,Guamanian,,,Samoan,,,Other Pacific Islander,,,More Than One Native Hawaiian or Pacific Islander Group,,,White,,,American Indian or Alaskan Native and White,,,Asian and White,,,"Black or African American
 and White",,,American Indian or Alaska Native and Black or African American,,,Reporting Race(s) Not Included Above,,,Worker Unable to Determine Race,,,PAFS Households,NAFS Households,Total,"American Indian or
Alaskan Native",,,Total Asian,,,Asian Indian,,,Cambodian,,,Chinese,,,Japanese,,,Filipino,,,Korean,,,Laotian,,,Vietnamese,,,Other Asian,,,More Than One Asian Group,,,"Black or 
African American",,,"Total Hawaiian or 
Other Pacific Islander",,,"Native 
Hawaiian",,,Guamanian,,,Samoan,,,"Other Pacific 
Islander",,,More Than One Native Hawaiian or Pacific Islander Group,,,White,,,American Indian or Alaskan Native and White,,,"Asian 
and White",,,"Black or African American 
and White",,,American Indian or Alaska Native and Black or African American,,,Reporting Race(s) Not Included Above,,,Worker Unable to Determine Race,,,PAFS Households,NAFS Households,Total
,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,,,,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,,,
Data Cell,1.0,2.0,3.0,7.0,8.0,9.0,13.0,14.0,15.0,19.0,20.0,21.0,25.0,26.0,27.0,31.0,32.0,33.0,37.0,38.0,39.0,43.0,44.0,45.0,49.0,50.0,51.0,55.0,56.0,57.0,61.0,62.0,63.0,67.0,68.0,69.0,73.0,74.0,75.0,79.0,80.0,81.0,85.0,86.0,87.0,91.0,92.0,93.0,97.0,98.0,99.0,103.0,104.0,105.0,109.0,110.0,111.0,115.0,116.0,117.0,121.0,122.0,123.0,127.0,128.0,129.0,133.0,134.0,135.0,139.0,140.0,141.0,145.0,146.0,147.0,151.0,152.0,153.0,157.0,158.0,159.0,4.0,5.0,6.0,10.0,11.0,12.0,16.0,17.0,18.0,22.0,23.0,24.0,28.0,29.0,30.0,34.0,35.0,36.0,40.0,41.0,42.0,46.0,47.0,48.0,52.0,53.0,54.0,58.0,59.0,60.0,64.0,65.0,66.0,70.0,71.0,72.0,76.0,77.0,78.0,82.0,83.0,84.0,88.0,89.0,90.0,94.0,95.0,96.0,100.0,101.0,102.0,106.0,107.0,108.0,112.0,113.0,114.0,118.0,119.0,120.0,124.0,125.0,126.0,130.0,131.0,132.0,136.0,137.0,138.0,142.0,143.0,144.0,148.0,149.0,150.0,154.0,155.0,156.0,160.0,161.0,162.0
Statewide,1.0,30.0114649682,31.0114649682,9.0,2827.35414013,2836.35414013,0.0,188.114649682,188.114649682,0.0,72.0343949045,72.0343949045,0.0,672.217834395,672.217834395,0.0,6.0,6.0,6.0,731.527388535,737.527388535,1.0,78.1031847134,79.1031847134,0.0,26.0458598726,26.0458598726,0.0,870.310828025,870.310828025,2.0,166.0,168.0,0.0,17.0,17.0,9.0,477.103184713,486.103184713,4.0,117.011464968,121.011464968,1.0,12.0,13.0,0.0,2.0,2.0,3.0,26.0114649682,29.0114649682,0.0,76.0,76.0,0.0,1.0,1.0,67.0,3375.0,3442.0,0.0,1.0,1.0,0.0,24.0,24.0,0.0,6.0,6.0,0.0,10.0,10.0,6.0,377.18343949,383.18343949,18.0,1014.0,1032.0,114.0,8258.0,8372.0,1.0,17.0,18.0,0.0,17.0,17.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,8.0,8.0,1.0,16.0,17.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,9.0,9.0,0.0,3.0,3.0,0.0,1.0,1.0,53.0,1448.0,1501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,206.0,208.0,17.0,860.0,877.0,74.0,2574.0,2648.0
Alameda,0.0,2.0,2.0,0.0,54.0,54.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,13.0,13.0,0.0,6.0,6.0,0.0,0.0,0.0,2.0,170.0,172.0,0.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,86.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,117.0,118.0,0.0,0.0,0.0,4.0,435.0,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,117.0,118.0,0.0,0.0,0.0,1.0,120.0,121.0
Alpine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butte,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0
