county,black_pa,black_na,black_tot,hispanic_pa,hispanic_na,hispanic_tot,asian_pac_islander_pa,asian_pac_islander_na,asian_pac_islander_tot,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,white_pa,white_na,white_tot,filipino_pa,filipino_na,filipino_tot,other_pa,other_na,other_tot,total_pa,total_na,total_tot,chinese_pa,chinese_na,chinese_tot,cambodian_pa,cambodian_na,cambodian_tot,japanese_pa,japanese_na,japanese_tot,korean_pa,korean_na,korean_tot,samoan_pa,samoan_na,samoan_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,asian_pac_islander_other_pa,asian_pac_islander_other_na,asian_pac_islander_other_tot,asian_pac_islander_total_pa,asian_pac_islander_total_na,asian_pac_islander_total_tot,year,month,quarter,fulldate
California,120,1215,1335,267,7207,7474,201,2727,2928,3,36.0,39,604,2922,3526,27,587,614,27,213,240,1249,14907,16156,29,588,617,24,196,220,2,10,12,4,437,441,2,15,17,8,100,108,0,2,2,0,5,5,8,50,58,95,1137,1232,29,187,216,201,2727.0,2928,2002,JUL,3.0,2002-07-01
Alameda,0,112,112,0,32,32,0,31,31,0,1.0,1,0,41,41,0,3,3,0,0,0,0,220,220,0,13,13,0,3,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,10,0,3,3,0,31.0,31,2002,JUL,3.0,2002-07-01
Alpine,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Amador,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Butte,0,0,0,0,2,2,0,0,0,0,0.0,0,0,7,7,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Calaveras,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Colusa,0,0,0,0,7,7,0,0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Contra Costa,5,30,35,2,18,20,0,9,9,0,0.0,0,4,22,26,0,1,1,0,0,0,11,80,91,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,3,3,0,1,1,0,9.0,9,2002,JUL,3.0,2002-07-01
Del Norte,0,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,2002,JUL,3.0,2002-07-01
El Dorado,0,0,0,0,2,2,0,1,1,0,0.0,0,0,1,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,2002,JUL,3.0,2002-07-01
Fresno,3,18,21,6,88,94,7,30,37,0,0.0,0,5,22,27,0,1,1,0,0,0,21,159,180,0,0,0,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,17,22,7,30.0,37,2002,JUL,3.0,2002-07-01
