Item,1. Unduplicated new work registrants during the quarter,,,,2. Unduplicated new ABAWDs during the quarter (Include in Item 1),,,,3. ABAWDs exempt under the 15% criteria during the quarter (Include in Item 2),,,,4. New individuals who participated in E&T during the quarter (Items 4a plus 4b),,,,4a. Unduplicated ABAWD participants,,,,4b. Unduplicated non-ABAWD participants,,,,5. New job search participants placed during the quarter (Items 5a plus 5b),,,,5a. ABAWD placements,,,,5b. Non-ABAWD placements,,,,6. New job club participants placed during the quarter (Items 6a plus 6b),,,,6a. ABAWD placements,,,,6b. Non-ABAWD placements,,,,7. New workfare participants placed during the quarter (Items 7a plus 7b),,,,7a. ABAWD placements,,,,7b. Non-ABAWD placements,,,,8. New self-initiated workfare participants placed during the quarter (Items 8a plus 8b),,,,8a. ABAWD placements,,,,8b. Non-ABAWD placements,,,,9. New work experience (on-the-job training OJT) participants placed during the quarter  (Items 9a plus 9b),,,,9a. ABAWD placements,,,,9b. Non-ABAWD placements,,,,10. New vocational training participants placed during the quarter (Items 10a plus 10b),,,,10a. ABAWD placements,,,,10b. Non-ABAWD placements,,,,11. New education participants placed during the quarter (Items 11a plus 11b),,,,11a. ABAWD placements,,,,11b. Non-ABAWD placements,,,,12. New job retention participants placed during the quarter (Items 12a plus 12b),,,,12a. ABAWD placements,,,,12b. Non-ABAWD placements,,,,13. New participants placed in other components offered by the county during the quarter (Items 13a plus 13b),,,,13a. ABAWD placements (List components in Item 13a/13b explanation box),,,,13b. Non-ABAWD placements (List components in Item 13a/13b explanation box),,,,14. Unduplicated placements in all component categories during the quarter (Items 14a plus 14b),,,,14a. ABAWD placements (Sum of Items 5a through 13a),,,,14b. Non-ABAWD placements (Sum of Items 5b through 13b),,,,CDSS Use Only:
Column,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,1363968.0
,(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,105.0,106.0,107.0,108.0,109.0,110.0,111.0,112.0,113.0,114.0,115.0,116.0,117.0,118.0,119.0,120.0,121.0,122.0,123.0,124.0,125.0,126.0,127.0,128.0,129.0,130.0,131.0,132.0,133.0,134.0,135.0,136.0,137.0,138.0,139.0,140.0,141.0,142.0,143.0,144.0,
Statewide,77130.0,67898.0,70998.0,216026.0,37997.0,33725.0,35510.0,107232.0,0.0,0.0,0.0,0.0,50022.0,41861.0,47198.0,139081.0,36042.0,31203.0,34082.0,101327.0,13980.0,10658.0,13116.0,37754.0,3431.0,2985.0,3194.0,9610.0,1985.0,1844.0,2106.0,5935.0,1446.0,1141.0,1088.0,3675.0,1010.0,1093.0,1175.0,3278.0,811.0,835.0,905.0,2551.0,199.0,258.0,270.0,727.0,2012.0,1727.0,2131.0,5870.0,1504.0,1324.0,1614.0,4442.0,508.0,403.0,517.0,1428.0,20.0,8.0,5.0,33.0,16.0,8.0,4.0,28.0,4.0,0.0,1.0,5.0,6.0,4.0,6.0,16.0,2.0,1.0,1.0,4.0,4.0,3.0,5.0,12.0,184.0,224.0,245.0,653.0,145.0,181.0,197.0,523.0,39.0,43.0,48.0,130.0,240.0,219.0,182.0,641.0,170.0,171.0,163.0,504.0,70.0,48.0,19.0,137.0,4.0,19.0,12.0,35.0,2.0,4.0,1.0,7.0,2.0,15.0,11.0,28.0,0.0,3.0,2.0,5.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,6907.0,6282.0,6952.0,20141.0,4635.0,4371.0,4993.0,13999.0,2272.0,1911.0,1959.0,6142.0,
Alameda ,1173.0,1209.0,1472.0,3854.0,1173.0,1209.0,1472.0,3854.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,11.0,2.0,2.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,11.0,2.0,2.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,11.0,2.0,2.0,7.0,11.0,0.0,0.0,0.0,0.0,
Alpine,4.0,5.0,5.0,14.0,4.0,5.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,107.0,101.0,80.0,288.0,49.0,50.0,43.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Butte,730.0,565.0,555.0,1850.0,424.0,352.0,337.0,1113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Calaveras,157.0,92.0,89.0,338.0,87.0,57.0,67.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Colusa,41.0,26.0,30.0,97.0,17.0,9.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
