 (Accessible sheet). Data table begins in Cell A6. Item descriptions are contained within input messages in Row 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-Assistance CalFresh Work Registrants, Able-Bodied Adults Without Dependents (ABAWD) and Employment and Training (E&T) Program 
Quarterly Statistical Report 
(STAT 47)",,,,,,,Part A.  WORK REGISTRANT AND ABAWD INFORMATION,,,,,,,,,,,,Part B.  NEW E&T INDIVIDUAL PARTICIPANTS,,,,,,,,,,,,Part C.  NEW E&T COMPONENT PLACEMENTS ,,,,,,,,,,,,Part C.  NEW E&T COMPONENT PLACEMENTS ,,,,,,,,,,,,Part C.  NEW E&T COMPONENT PLACEMENTS ,,,,,,,,,,,,Part C.  NEW E&T COMPONENT PLACEMENTS ,,,,,,,,,,,,Part C.  NEW E&T COMPONENT PLACEMENTS ,,,,,,,,,,,,Part C.  NEW E&T COMPONENT PLACEMENTS ,,,,,,,,,,,,Part C.  NEW E&T COMPONENT PLACEMENTS ,,,,,,,,,,,,Part C.  NEW E&T COMPONENT PLACEMENTS ,,,,,,,,,,,,Part C.  NEW E&T COMPONENT PLACEMENTS ,,,,,,,,,,,,Part C.  NEW E&T COMPONENT PLACEMENTS ,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part E.  E&T TOTALS FOR THE FNS 583,,,,,,,,,,,,PART F.  POINT-IN-TIME WORK REGISTRANT AND ABAWD COUNTS,,,,,
,,,,,,,1. Unduplicated new work registrants during the quarter,,,,2. Unduplicated new ABAWDs during the quarter (Include in Item 1),,,,3. ABAWDs exempt under the 15% criteria during the quarter (Include in Item 2),,,,4. New individuals who participated in E&T during the quarter (Items 4a plus 4b),,,,4a. Unduplicated ABAWD participants,,,,4b. Unduplicated non-ABAWD participants,,,,5. New job search participants placed during the quarter (Items 5a plus 5b),,,,5a. ABAWD placements,,,,5b. Non-ABAWD placements,,,,6. New job club participants placed during the quarter (Items 6a plus 6b),,,,6a. ABAWD placements,,,,6b. Non-ABAWD placements,,,,7. New workfare participants placed during the quarter (Items 7a plus 7b),,,,7a. ABAWD placements,,,,7b. Non-ABAWD placements,,,,8. New self-initiated workfare participants placed during the quarter (Items 8a plus 8b),,,,8a. ABAWD placements,,,,8b. Non-ABAWD placements,,,,9. New work experience (on-the-job training OJT) participants placed during the quarter  (Items 9a plus 9b),,,,9a. ABAWD placements,,,,9b. Non-ABAWD placements,,,,10. New vocational training participants placed during the quarter (Items 10a plus 10b),,,,10a. ABAWD placements,,,,10b. Non-ABAWD placements,,,,11. New education participants placed during the quarter (Items 11a plus 11b),,,,11a. ABAWD placements,,,,11b. Non-ABAWD placements,,,,12. New job retention participants placed during the quarter (Items 12a plus 12b),,,,12a. ABAWD placements,,,,12b. Non-ABAWD placements,,,,13. New participants placed in other components offered by the county during the quarter (Items 13a plus 13b),,,,13a. ABAWD placements (List components in Item 13a/13b explanation box),,,,13b. Non-ABAWD placements (List components in Item 13a/13b explanation box),,,,14. Unduplicated placements in all component categories during the quarter (Items 14a plus 14b),,,,14a. ABAWD placements (Sum of Items 5a through 13a),,,,14b. Non-ABAWD placements (Sum of Items 5b through 13b),,,,15. Job search participants by month during the quarter (Items 15a plus 15b),,,,15a. ABAWD placements,,,,15b. Non-ABAWD placements,,,,16. Job club participants by month during the quarter (Items 16a plus 16b),,,,16a. ABAWD placements,,,,16b. Non-ABAWD placements,,,,17. Workfare participants by month during the quarter (Items 17a plus 17b),,,,17a. ABAWD placements,,,,17b. Non-ABAWD placements,,,,18. Self-initiated workfare participants by month during the quarter (Items 18a plus 18b),,,,18a. ABAWD placements,,,,18b. Non-ABAWD placements,,,,19. Work experience (OJT) participants by month during the quarter (Items 19a plus 19b),,,,19a. ABAWD placements,,,,19b. Non-ABAWD placements,,,,20. Vocational training participants by month during the quarter (Items 20a plus 20b),,,,20a. ABAWD placements,,,,20b. Non-ABAWD placements,,,,21. Education participants by month during the quarter (Items 21a plus 21b),,,,21a. ABAWD placements,,,,21b. Non-ABAWD placements,,,,22. Job retention participants by month during the quarter (Items 22a plus 22b),,,,22a. ABAWD placements,,,,22b. Non-ABAWD placements,,,,23. Participants in other components offered by the county  by month during the quarter (Items 23a plus 23b),,,,23a. ABAWD participants (List components in Item 23a/23b explanation box),,,,23b. Non-ABAWD participants (List components in Item 23a/23b explanation box),,,,24. ABAWDs that participated in a qualifying E&T component by month during the quarter (Sum of Items 17a through 23a),,,,25. ABAWDs that participated in a non-qualifying E&T component by month during the quarter (Items 15a plus 16a),,,,26. Non-ABAWDs that participated in an E&T component by month during the quarter (Sum of Items 15b through 23b),,,,27. E&T participants who are not ABAWDs in qualifying components by month during the quarter (Items 25 plus 26),,,,28. Work registrants on October 1,29. ABAWDs on October 1 (Include in Item 28)
,,,,,,,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,,
,,,,,,,(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),,
Date,County Name, ,County Code,SFY,FFY,Report Quarter,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,Cell 30,Cell 31,Cell 32,Cell 33,Cell 34,Cell 35,Cell 36,Cell 37,Cell 38,Cell 39,Cell 40,Cell 41,Cell 42,Cell 43,Cell 44,Cell 45,Cell 46,Cell 47,Cell 48,Cell 49,Cell 50,Cell 51,Cell 52,Cell 53,Cell 54,Cell 55,Cell 56,Cell 57,Cell 58,Cell 59,Cell 60,Cell 61,Cell 62,Cell 63,Cell 64,Cell 65,Cell 66,Cell 67,Cell 68,Cell 69,Cell 70,Cell 71,Cell 72,Cell 73,Cell 74,Cell 75,Cell 76,Cell 77,Cell 78,Cell 79,Cell 80,Cell 81,Cell 82,Cell 83,Cell 84,Cell 85,Cell 86,Cell 87,Cell 88,Cell 89,Cell 90,Cell 91,Cell 92,Cell 93,Cell 94,Cell 95,Cell 96,Cell 97,Cell 98,Cell 99,Cell 100,Cell 101,Cell 102,Cell 103,Cell 104,Cell 105,Cell 106,Cell 107,Cell 108,Cell 109,Cell 110,Cell 111,Cell 112,Cell 113,Cell 114,Cell 115,Cell 116,Cell 117,Cell 118,Cell 119,Cell 120,Cell 121,Cell 122,Cell 123,Cell 124,Cell 125,Cell 126,Cell 127,Cell 128,Cell 129,Cell 130,Cell 131,Cell 132,Cell 133,Cell 134,Cell 135,Cell 136,Cell 137,Cell 138,Cell 139,Cell 140,Cell 141,Cell 142,Cell 143,Cell 144,Cell 145,Cell 146,Cell 147,Cell 148,Cell 149,Cell 150,Cell 151,Cell 152,Cell 153,Cell 154,Cell 155,Cell 156,Cell 157,Cell 158,Cell 159,Cell 160,Cell 161,Cell 162,Cell 163,Cell 164,Cell 165,Cell 166,Cell 167,Cell 168,Cell 169,Cell 170,Cell 171,Cell 172,Cell 173,Cell 174,Cell 175,Cell 176,Cell 177,Cell 178,Cell 179,Cell 180,Cell 181,Cell 182,Cell 183,Cell 184,Cell 185,Cell 186,Cell 187,Cell 188,Cell 189,Cell 190,Cell 191,Cell 192,Cell 193,Cell 194,Cell 195,Cell 196,Cell 197,Cell 198,Cell 199,Cell 200,Cell 201,Cell 202,Cell 203,Cell 204,Cell 205,Cell 206,Cell 207,Cell 208,Cell 209,Cell 210,Cell 211,Cell 212,Cell 213,Cell 214,Cell 215,Cell 216,Cell 217,Cell 218,Cell 219,Cell 220,Cell 221,Cell 222,Cell 223,Cell 224,Cell 225,Cell 226,Cell 227,Cell 228,Cell 229,Cell 230,Cell 231,Cell 232,Cell 233,Cell 234,Cell 235,Cell 236,Cell 237,Cell 238,Cell 239,Cell 240,Cell 241,Cell 242,Cell 243,Cell 244,Cell 245,Cell 246,Cell 247,Cell 248,Cell 249,Cell 250,Cell 251,Cell 252,Cell 253,Cell 254,Cell 255,Cell 256,Cell 257,Cell 258,Cell 259,Cell 260,Cell 261,Cell 262,Cell 263,Cell 264,Cell 265,Cell 266,Cell 267,Cell 268,Cell 269,Cell 270
42644.0,Statewide,,00,16-17,2017,Oct-Dec 2016,83217.0,68758.0,58398.0,210373.0,42659.0,35243.0,33923.0,111825.0,0.0,0.0,0.0,0.0,7358.0,5605.0,6012.0,18975.0,3355.0,2534.0,2909.0,8798.0,4003.0,3071.0,3103.0,10177.0,3774.0,2698.0,2899.0,9371.0,1597.0,1148.0,1179.0,3924.0,2177.0,1550.0,1720.0,5447.0,1750.0,1691.0,1779.0,5220.0,478.0,375.0,428.0,1281.0,1272.0,1316.0,1351.0,3939.0,1790.0,1477.0,1719.0,4986.0,1332.0,1224.0,1432.0,3988.0,458.0,253.0,287.0,998.0,10.0,14.0,8.0,32.0,7.0,10.0,7.0,24.0,3.0,4.0,1.0,8.0,28.0,14.0,20.0,62.0,14.0,6.0,12.0,32.0,14.0,8.0,8.0,30.0,232.0,208.0,235.0,675.0,60.0,36.0,57.0,153.0,172.0,172.0,178.0,522.0,134.0,191.0,238.0,563.0,46.0,61.0,77.0,184.0,88.0,130.0,161.0,379.0,21.0,33.0,8.0,62.0,5.0,13.0,1.0,19.0,16.0,20.0,7.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7739.0,6326.0,6906.0,20971.0,3539.0,2873.0,3193.0,9605.0,4200.0,3453.0,3713.0,11366.0,10631.0,11271.0,11799.0,33701.0,4633.0,4844.0,4794.0,14271.0,5998.0,6427.0,7005.0,19430.0,2470.0,2820.0,3135.0,8425.0,655.0,658.0,689.0,2002.0,1815.0,2162.0,2446.0,6423.0,3239.0,3118.0,3273.0,9630.0,2304.0,2233.0,2370.0,6907.0,935.0,885.0,903.0,2723.0,10.0,16.0,11.0,37.0,7.0,12.0,10.0,29.0,3.0,4.0,1.0,8.0,66.0,56.0,55.0,177.0,26.0,25.0,28.0,79.0,40.0,31.0,27.0,98.0,510.0,602.0,700.0,1812.0,123.0,130.0,167.0,420.0,387.0,472.0,533.0,1392.0,663.0,751.0,885.0,2299.0,284.0,299.0,340.0,923.0,379.0,452.0,545.0,1376.0,61.0,88.0,84.0,233.0,12.0,25.0,23.0,60.0,49.0,63.0,61.0,173.0,15.0,15.0,15.0,45.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,45.0,2756.0,2724.0,2938.0,8418.0,5288.0,5502.0,5483.0,16273.0,9621.0,10511.0,11536.0,31668.0,14909.0,16013.0,17019.0,47941.0,943059.0,443152.0
42644.0,Alameda,,01,16-17,2017,Oct-Dec 2016,1672.0,1275.0,1270.0,4217.0,1421.0,1084.0,1079.0,3584.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,13.0,3.0,5.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,13.0,3.0,5.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,13.0,3.0,5.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,10.0,25.0,7.0,8.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,10.0,25.0,0.0,0.0,0.0,0.0,7.0,8.0,10.0,25.0,9470.0,8049.0
42644.0,Alpine,,02,16-17,2017,Oct-Dec 2016,3.0,1.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,28.0
42644.0,Amador,,03,16-17,2017,Oct-Dec 2016,83.0,93.0,50.0,226.0,40.0,45.0,27.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.0,432.0
42644.0,Butte,,04,16-17,2017,Oct-Dec 2016,741.0,578.0,440.0,1759.0,410.0,344.0,303.0,1057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7833.0,4268.0
